Strategy,Tier,Ticker,Signal Date,rows,pnl,risk,gap_atr,size_mult,any_eodd,all_tgt,all_time,far_time,far_R,entry,R,year,era,path_gap,path_size,exit_pos,rank_2d,rank_5d,rank_10d,rank_21d,extremity,cell,sector,semis,megacap_tech,theme
Overbot Vol Spike,Overflow,ONB,2008-09-18,2,3659.0,2286.585365853659,0.9529619549611673,1.0,False,True,False,False,1.9998705496756801,2008-09-19,1.6002026666666664,2008,pre,P1,P1,Target,99.68021927820922,99.67978042086003,100.0,99.95391705069125,99.82847918744012,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,ASB,2008-09-18,2,3658.0,2286.585365853659,2.3981796825309827,1.0,False,True,False,False,2.000021263670621,2008-09-19,1.599765333333333,2008,pre,P1,P1,Target,99.49748743718592,99.95425434583714,100.0,100.0,99.86293544575577,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,MTB,2008-09-18,2,3657.0,2286.585365853659,1.8699289988905559,1.0,False,True,False,False,1.999397270795685,2008-09-19,1.5993279999999996,2008,pre,P1,P1,Target,99.8172681589767,99.90850869167429,99.86244841815682,99.86175115207374,99.86249410522039,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,UNFI,2008-09-18,2,3658.0,2286.585365853659,0.5774528156336143,1.0,False,True,False,False,1.9996862344242434,2008-09-19,1.599765333333333,2008,pre,P1,P1,Target,87.80264961169483,94.3732845379689,99.58734525447042,99.44700460829493,95.30257100310727,top,Consumer Defensive,False,False,False
Overbot Vol Spike,Overflow,ZION,2008-09-18,2,3657.0,2286.585365853659,0.9227801271977207,1.0,False,True,False,False,1.9996618202770278,2008-09-19,1.5993279999999996,2008,pre,P1,P1,Target,99.49748743718592,99.90850869167429,100.0,100.0,99.85149903221506,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,GVA,2008-11-24,2,-4829.0,4500.0,0.2734888623340763,1.0,False,False,True,True,-1.073212219553416,2008-11-25,-1.0731111111111111,2008,pre,P1,P1,Time,99.86583184257603,98.11912225705329,90.79892280071813,100.0,97.19596922508686,top,Industrials,False,False,False
Overbot Vol Spike,Liquid,VMC,2008-12-05,2,3856.0,4500.0,0.608651765481877,1.0,False,False,False,True,0.7628460875260549,2008-12-08,0.8568888888888889,2008,pre,P1,P1,Mixed,95.98930481283422,98.34895136099956,100.0,98.65168539325843,98.24748539177305,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,RBA,2008-12-12,2,549.0,900.0,0.017371913607998994,0.2,False,False,False,True,0.3501153890955731,2008-12-15,0.61,2008,pre,P2,P2,Mixed,98.31036016007114,100.0,99.8661311914324,99.95515695067265,99.53291207554403,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,B,2008-12-16,2,1439.0,900.0,0.036326011947051845,0.2,False,True,False,False,1.9999688346498186,2008-12-17,1.5988888888888888,2008,pre,P2,P2,Target,99.42247889826744,99.68861209964413,99.33125278644673,100.0,99.61058594608957,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,SSRM,2008-12-16,2,4819.0,4500.0,0.2932391245315484,1.0,False,False,False,True,1.1185610315066814,2008-12-17,1.0708888888888888,2008,pre,P1,P1,Mixed,99.64460239893381,99.95551601423487,99.7770842621489,98.74551971326166,99.53068059714481,top,Basic Materials,False,False,False
