variant,n_ep,full_mean_pct,loyo_min_pct,loyo_max_pct,worst_year_dropped,n_years
raw_1d,78,0.6656053563862925,0.4716613792329299,0.8798755088837935,2007,20
sma3,58,0.21061945795671413,0.030637832430900777,0.47458151847908375,2007,20
persist_3of5,45,0.41338372472173524,0.17496597699056443,0.6774711135788297,2007,19
