variant,median_lag_td,variant_n_ep,variant_dd63_pct,placebo_dd63_pct,variant_p5,placebo_p5,variant_fwd21_pct,placebo_fwd21_pct,dd63_gain_vs_placebo_pp,p5_gain_vs_placebo_pp,p5_gain_sigma
sma3,2,56,-4.541710386913985,-3.8930792755918446,35.714285714285715,32.0,0.21061945795671413,0.7681833110166834,-0.6486311113221408,3.7142857142857153,0.5958540230683376
sma5,4,42,-4.698452891540089,-3.8941452504709906,40.476190476190474,32.0,0.337887889060386,0.7588801531044795,-0.8043076410690988,8.476190476190474,1.1775948759555428
sma8,7,33,-4.227308528599139,-3.969625675978076,36.36363636363637,32.0,0.9843167775887441,0.60412501644449,-0.2576828526210635,4.363636363636367,0.5373732906238794
sma13,10,29,-3.9765495375722533,-4.284798133999728,31.03448275862069,30.666666666666664,1.7255332697372519,0.410177254820088,0.3082485964274748,0.3678160919540261,0.04295615474572425
sma21,8,24,-5.4062223188664795,-4.1943658776364305,50.0,33.33333333333333,1.234159361636341,0.4597433620583792,-1.211856441230049,16.66666666666667,1.7320508075688776
ema5,4,32,-4.703835861832484,-3.8941452504709906,37.5,32.0,0.17253812770156748,0.7588801531044795,-0.8096906113614937,5.5,0.6669729688499156
ema8,6,29,-4.53969434330621,-4.070786396457241,37.93103448275862,33.33333333333333,1.3425537521985031,0.6394806151413406,-0.46890794684896875,4.597701149425291,0.5252257314388905
ema13,8,26,-4.54956807879728,-4.1943658776364305,34.61538461538461,33.33333333333333,1.5051952437269005,0.4597433620583792,-0.3552022011608491,1.2820512820512846,0.13867504905630756
ema21,6,21,-4.964012667605605,-4.070786396457241,47.61904761904761,33.33333333333333,1.196068055820022,0.6394806151413406,-0.8932262711483636,14.285714285714285,1.3887301496588271
persist_3of5,3,45,-4.709512470814229,-3.8607446979779745,44.44444444444444,33.33333333333333,0.41338372472173524,0.7483648818673773,-0.8487677728362542,11.111111111111114,1.58113883008419
