strategy,dim,cell,days,n_years,mean_bps,sd_bps,sharpe,mean_bps_rest,sd_bps_rest,sharpe_rest,sd_ratio,kelly_ratio,worst_day_pct,cvar5_bps,pnl_share,day_share,active_share,t_year_mean,p_year_mean,t_year_sd,p_year_sd,levene_p,q_p_year_mean,q_p_year_sd,q_levene_p
3x Bear ETF Overbot Fade,month,Jan,120,6,-1.0945555555555555,7.430746890973297,-2.3383289771277576,1.0939430678466076,18.210180110733166,0.9536318548368231,0.4080545522223352,-6.055088917767021,-0.684904,-21.891111111111112,-0.0971470176279777,0.08130081300813008,0.025,-2.259513880930944,0.07339639423998245,-2.73989743894685,0.040797035762528515,0.21411820943047877,0.6286373723627048,0.09791288583006844,0.40703659614506854
3x Bear ETF Overbot Fade,month,Feb,115,6,-1.0395942028985508,12.675321559670891,-1.3019824604901329,1.0812589762429585,17.938590581030958,0.9568451906205734,0.7065951754913413,-1.9411833596179693,-1.2693586666666667,-32.50818666666667,-0.08842439686948149,0.07791327913279132,0.043478260869565216,-2.0082602147993667,0.1008700597324139,-1.3874308604880927,0.22396876522447554,0.44228260945909115,0.6286373723627048,0.348454274070745,0.6337183657921306
3x Bear ETF Overbot Fade,month,Mar,132,6,1.7236373737373738,19.238594014131962,1.4222398491331782,0.8366964285714286,17.426591746716568,0.7621768060090156,1.1039791540280275,1.7019062019261013,-1.1398679999999999,-45.199044444444446,0.16827912701999673,0.08943089430894309,0.1590909090909091,0.67904763940121,0.5272617988325399,-0.6339107304510578,0.5540017009170488,0.03930621846775749,0.8452523781853382,0.673217256810591,0.12172248299692642
3x Bear ETF Overbot Fade,month,Apr,124,6,2.3427430107526885,33.160515254476685,1.121511293407823,0.7851627218934911,15.411992551365103,0.8087255274457349,2.151604676939681,0.6492848222266804,-1.8827453333333335,-60.90646666666668,0.2148605845132211,0.08401084010840108,0.12903225806451613,1.1240258209832747,0.3120509904804438,0.5930174615829614,0.5789735725315426,0.000346105478574986,0.7908741219580474,0.6904529560624607,0.004153265742899832
3x Bear ETF Overbot Fade,month,May,126,6,1.533121693121693,8.150168548688022,2.986140989870382,0.858419851851852,18.225088530728762,0.7477051575310266,0.4471950045645196,8.995425318919386,0.0,0.0,0.1428754432437459,0.08536585365853659,0.047619047619047616,0.7589018286790666,0.4821335002858022,-6.286396586103943,0.00149696934194983,0.3274344609274581,0.8269211927946283,0.009361178112514282,0.5282976176308568
3x Bear ETF Overbot Fade,month,Jun,124,6,-0.2870956989247313,13.026128347339219,-0.3498739463838935,1.026360946745562,17.951422488416114,0.9076146992462073,0.7256320971636012,-0.5351663880838027,-0.730284,-27.40624444444445,-0.026330480722416436,0.08401084010840108,0.04838709677419355,-2.814872872237504,0.037333300342297406,-1.5275301207863776,0.18716381565370735,0.6793840876217366,0.47786624438140685,0.3019785933236287,0.7895652027409047
3x Bear ETF Overbot Fade,month,Jul,127,6,2.626584776902887,35.1361143168545,1.186691855754737,0.7549769211761799,14.929898232754965,0.8027440567450396,2.3534061498000547,0.6326668763584278,-1.5216813333333334,-45.31011111111111,0.2467206841295934,0.08604336043360433,0.14173228346456693,1.75017648553939,0.14049040508640115,0.4486279838158489,0.6724741598341258,0.006689377967840882,0.6294536869468085,0.7639943117642141,0.03293232230321665
3x Bear ETF Overbot Fade,month,Aug,116,6,0.4376735632183909,4.713888539313674,1.4739110533215527,0.9568161764705881,18.274478519982722,0.8311583777047535,0.2579492779593762,6.92937188638455,0.0,0.0,0.037550759094823714,0.07859078590785908,0.008620689655172414,0.5320786674136629,0.6174558054399532,-7.345370906926534,0.0007339077011806457,0.10009124420386756,0.9151764434107522,0.006710013267937333,0.22608845749579495
3x Bear ETF Overbot Fade,month,Sep,110,6,0.7812230303030302,5.905297166419797,2.100068936491344,0.9268708638360177,18.209764679136413,0.8080070818239736,0.32429288738616757,8.08219081395649,-0.31724266666666673,-8.647866666666667,0.06355915864824918,0.07452574525745258,0.09090909090909091,0.44766359011193285,0.6731247523762005,-2.370456915333752,0.06391645869481986,0.3744910758809229,0.9365213946103659,0.12783291738963973,0.5752182925530976
3x Bear ETF Overbot Fade,month,Oct,132,6,0.5517939393939393,11.378489620322783,0.7698260071256781,0.9517881944444442,18.08911834082013,0.8352628854081622,0.6290240024935845,1.4753041242702996,-0.9290546666666667,-16.32648888888889,0.05387177362881041,0.08943089430894309,0.06060606060606061,-1.6153372158579231,0.16715921335672004,-1.712779621907079,0.14742785952992885,0.5119153984820506,0.6294536869468085,0.25049689406855163,0.7020554036325265
