date,event,detail,ref_period,time_et,source
2018-09-26,fomc_decision,September 25-26 Meeting - 2018,,14:00,fed:fomchistorical2018
2018-10-05,nfp,Employment Situation release,September 2018,08:30,bls:sched2018
2018-10-10,ppi,Producer Price Index release,September 2018,08:30,bls:sched2018
2018-10-11,cpi,Consumer Price Index release,September 2018,08:30,bls:sched2018
2018-10-17,fomc_minutes,minutes of 2018-09-26 meeting,,14:00,fed:fomchistorical2018
2018-10-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2018-10-19,opex,monthly options expiration,,16:00,computed
2018-11-02,nfp,Employment Situation release,October 2018,08:30,bls:sched2018
2018-11-06,election,US general election (midterm),,,computed
2018-11-08,fomc_decision,November 7-8 Meeting - 2018,,14:00,fed:fomchistorical2018
2018-11-09,ppi,Producer Price Index release,October 2018,08:30,bls:sched2018
2018-11-14,cpi,Consumer Price Index release,October 2018,08:30,bls:sched2018
2018-11-16,opex,monthly options expiration,,16:00,computed
2018-11-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2018-11-29,fomc_minutes,minutes of 2018-11-08 meeting,,14:00,fed:fomchistorical2018
2018-12-07,nfp,Employment Situation release,November 2018,08:30,bls:sched2018
2018-12-11,ppi,Producer Price Index release,November 2018,08:30,bls:sched2018
2018-12-12,cpi,Consumer Price Index release,November 2018,08:30,bls:sched2018
2018-12-19,fomc_decision,December 18-19 Meeting - 2018,,14:00,fed:fomchistorical2018
2018-12-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2018-12-21,opex,quad witching,,16:00,computed
2018-12-21,quad_witching,quad witching,,16:00,computed
2019-01-04,nfp,Employment Situation release,December 2018,08:30,bls:sched2019
2019-01-09,fomc_minutes,minutes of 2018-12-19 meeting,,14:00,fed:fomchistorical2018
2019-01-11,cpi,Consumer Price Index release,December 2018,08:30,bls:sched2019
2019-01-15,ppi,Producer Price Index release,December 2018,08:30,bls:sched2019
2019-01-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-01-18,opex,monthly options expiration,,16:00,computed
2019-01-30,fomc_decision,January 29-30 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-02-01,nfp,Employment Situation release,January 2019,08:30,bls:sched2019
2019-02-13,cpi,Consumer Price Index release,January 2019,08:30,bls:sched2019
2019-02-13,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-02-14,ppi,Producer Price Index release,January 2019,08:30,bls:sched2019
2019-02-15,opex,monthly options expiration,,16:00,computed
2019-02-20,fomc_minutes,minutes of 2019-01-30 meeting,,14:00,fed:fomchistorical2019
2019-03-08,nfp,Employment Situation release,February 2019,08:30,bls:sched2019
2019-03-12,cpi,Consumer Price Index release,February 2019,08:30,bls:sched2019
2019-03-13,ppi,Producer Price Index release,February 2019,08:30,bls:sched2019
2019-03-15,opex,quad witching,,16:00,computed
2019-03-15,quad_witching,quad witching,,16:00,computed
2019-03-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-03-20,fomc_decision,March 19-20 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-04-05,nfp,Employment Situation release,March 2019,08:30,bls:sched2019
2019-04-10,cpi,Consumer Price Index release,March 2019,08:30,bls:sched2019
2019-04-10,fomc_minutes,minutes of 2019-03-20 meeting,,14:00,fed:fomchistorical2019
2019-04-11,ppi,Producer Price Index release,March 2019,08:30,bls:sched2019
2019-04-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-04-18,opex,monthly options expiration,,16:00,computed
2019-05-01,fomc_decision,April/May 30-1 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-05-03,nfp,Employment Situation release,April 2019,08:30,bls:sched2019
2019-05-09,ppi,Producer Price Index release,April 2019,08:30,bls:sched2019
2019-05-10,cpi,Consumer Price Index release,April 2019,08:30,bls:sched2019
2019-05-17,opex,monthly options expiration,,16:00,computed
2019-05-22,fomc_minutes,minutes of 2019-05-01 meeting,,14:00,fed:fomchistorical2019
2019-05-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-06-07,nfp,Employment Situation release,May 2019,08:30,bls:sched2019
2019-06-11,ppi,Producer Price Index release,May 2019,08:30,bls:sched2019
2019-06-12,cpi,Consumer Price Index release,May 2019,08:30,bls:sched2019
2019-06-19,fomc_decision,June 18-19 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-06-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-06-21,opex,quad witching,,16:00,computed
2019-06-21,quad_witching,quad witching,,16:00,computed
2019-07-05,nfp,Employment Situation release,June 2019,08:30,bls:sched2019
2019-07-10,fomc_minutes,minutes of 2019-06-19 meeting,,14:00,fed:fomchistorical2019
2019-07-11,cpi,Consumer Price Index release,June 2019,08:30,bls:sched2019
2019-07-12,ppi,Producer Price Index release,June 2019,08:30,bls:sched2019
2019-07-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-07-19,opex,monthly options expiration,,16:00,computed
2019-07-31,fomc_decision,July 30-31 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-08-02,nfp,Employment Situation release,July 2019,08:30,bls:sched2019
2019-08-09,ppi,Producer Price Index release,July 2019,08:30,bls:sched2019
2019-08-13,cpi,Consumer Price Index release,July 2019,08:30,bls:sched2019
2019-08-16,opex,monthly options expiration,,16:00,computed
2019-08-21,fomc_minutes,minutes of 2019-07-31 meeting,,14:00,fed:fomchistorical2019
2019-08-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-08-23,jackson_hole,"Jackson Hole symposium Aug 22-24, 2019",2019,10:00,manual:kcfed
2019-09-06,nfp,Employment Situation release,August 2019,08:30,bls:sched2019
2019-09-11,ppi,Producer Price Index release,August 2019,08:30,bls:sched2019
2019-09-12,cpi,Consumer Price Index release,August 2019,08:30,bls:sched2019
2019-09-18,fomc_decision,September 17-18 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-09-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-09-20,opex,quad witching,,16:00,computed
2019-09-20,quad_witching,quad witching,,16:00,computed
2019-10-04,nfp,Employment Situation release,September 2019,08:30,bls:sched2019
2019-10-08,ppi,Producer Price Index release,September 2019,08:30,bls:sched2019
2019-10-09,fomc_minutes,minutes of 2019-09-18 meeting,,14:00,fed:fomchistorical2019
2019-10-10,cpi,Consumer Price Index release,September 2019,08:30,bls:sched2019
2019-10-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-10-18,opex,monthly options expiration,,16:00,computed
2019-10-30,fomc_decision,October 29-30 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-11-01,nfp,Employment Situation release,October 2019,08:30,bls:sched2019
2019-11-13,cpi,Consumer Price Index release,October 2019,08:30,bls:sched2019
2019-11-14,ppi,Producer Price Index release,October 2019,08:30,bls:sched2019
2019-11-15,opex,monthly options expiration,,16:00,computed
2019-11-20,fomc_minutes,minutes of 2019-10-30 meeting,,14:00,fed:fomchistorical2019
2019-11-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-12-06,nfp,Employment Situation release,November 2019,08:30,bls:sched2019
2019-12-11,cpi,Consumer Price Index release,November 2019,08:30,bls:sched2019
2019-12-11,fomc_decision,December 10-11 Meeting - 2019,,14:00,fed:fomchistorical2019
2019-12-12,ppi,Producer Price Index release,November 2019,08:30,bls:sched2019
2019-12-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2019-12-20,opex,quad witching,,16:00,computed
2019-12-20,quad_witching,quad witching,,16:00,computed
2020-01-03,fomc_minutes,minutes of 2019-12-11 meeting,,14:00,fed:fomchistorical2019
2020-01-10,nfp,Employment Situation release,December 2019,08:30,bls:sched2020
2020-01-14,cpi,Consumer Price Index release,December 2019,08:30,bls:sched2020
2020-01-15,ppi,Producer Price Index release,December 2019,08:30,bls:sched2020
2020-01-17,opex,monthly options expiration,,16:00,computed
2020-01-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-01-29,fomc_decision,January 28-29 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-02-07,nfp,Employment Situation release,January 2020,08:30,bls:sched2020
2020-02-13,cpi,Consumer Price Index release,January 2020,08:30,bls:sched2020
2020-02-19,fomc_minutes,minutes of 2020-01-29 meeting,,14:00,fed:fomchistorical2020
2020-02-19,ppi,Producer Price Index release,January 2020,08:30,bls:sched2020
2020-02-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-02-21,opex,monthly options expiration,,16:00,computed
2020-03-03,fomc_intermeeting,emergency 50bp cut,,,manual
2020-03-06,nfp,Employment Situation release,February 2020,08:30,bls:sched2020
2020-03-11,cpi,Consumer Price Index release,February 2020,08:30,bls:sched2020
2020-03-12,ppi,Producer Price Index release,February 2020,08:30,bls:sched2020
2020-03-15,fomc_intermeeting,emergency cut to zero + QE (Sunday),,,manual
2020-03-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-03-20,opex,quad witching,,16:00,computed
2020-03-20,quad_witching,quad witching,,16:00,computed
2020-03-23,fomc_intermeeting,QE-unlimited announcement,,,manual
2020-04-03,nfp,Employment Situation release,March 2020,08:30,bls:sched2020
2020-04-09,ppi,Producer Price Index release,March 2020,08:30,bls:sched2020
2020-04-10,cpi,Consumer Price Index release,March 2020,08:30,bls:sched2020
2020-04-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-04-17,opex,monthly options expiration,,16:00,computed
2020-04-29,fomc_decision,April 28-29 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-05-08,nfp,Employment Situation release,April 2020,08:30,bls:sched2020
2020-05-12,cpi,Consumer Price Index release,April 2020,08:30,bls:sched2020
2020-05-13,ppi,Producer Price Index release,April 2020,08:30,bls:sched2020
2020-05-15,opex,monthly options expiration,,16:00,computed
2020-05-20,fomc_minutes,minutes of 2020-04-29 meeting,,14:00,fed:fomchistorical2020
2020-05-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-06-05,nfp,Employment Situation release,May 2020,08:30,bls:sched2020
2020-06-10,cpi,Consumer Price Index release,May 2020,08:30,bls:sched2020
2020-06-10,fomc_decision,June 9-10 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-06-11,ppi,Producer Price Index release,May 2020,08:30,bls:sched2020
2020-06-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-06-19,opex,quad witching,,16:00,computed
2020-06-19,quad_witching,quad witching,,16:00,computed
2020-07-01,fomc_minutes,minutes of 2020-06-10 meeting,,14:00,fed:fomchistorical2020
2020-07-02,nfp,Employment Situation release,June 2020,08:30,bls:sched2020
2020-07-10,ppi,Producer Price Index release,June 2020,08:30,bls:sched2020
2020-07-14,cpi,Consumer Price Index release,June 2020,08:30,bls:sched2020
2020-07-17,opex,monthly options expiration,,16:00,computed
2020-07-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-07-29,fomc_decision,July 28-29 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-08-07,nfp,Employment Situation release,July 2020,08:30,bls:sched2020
2020-08-11,ppi,Producer Price Index release,July 2020,08:30,bls:sched2020
2020-08-12,cpi,Consumer Price Index release,July 2020,08:30,bls:sched2020
2020-08-19,fomc_minutes,minutes of 2020-07-29 meeting,,14:00,fed:fomchistorical2020
2020-08-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-08-21,opex,monthly options expiration,,16:00,computed
2020-08-27,jackson_hole,"Jackson Hole symposium Aug 27-28 (virtual, keynote Thu), 2020",2020,10:00,manual:kcfed
2020-09-04,nfp,Employment Situation release,August 2020,08:30,bls:sched2020
2020-09-10,ppi,Producer Price Index release,August 2020,08:30,bls:sched2020
2020-09-11,cpi,Consumer Price Index release,August 2020,08:30,bls:sched2020
2020-09-16,fomc_decision,September 15-16 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-09-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-09-18,opex,quad witching,,16:00,computed
2020-09-18,quad_witching,quad witching,,16:00,computed
2020-10-02,nfp,Employment Situation release,September 2020,08:30,bls:sched2020
2020-10-07,fomc_minutes,minutes of 2020-09-16 meeting,,14:00,fed:fomchistorical2020
2020-10-13,cpi,Consumer Price Index release,September 2020,08:30,bls:sched2020
2020-10-14,ppi,Producer Price Index release,September 2020,08:30,bls:sched2020
2020-10-16,opex,monthly options expiration,,16:00,computed
2020-10-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-11-03,election,US general election (presidential),,,computed
2020-11-05,fomc_decision,November 4-5 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-11-06,nfp,Employment Situation release,October 2020,08:30,bls:sched2020
2020-11-12,cpi,Consumer Price Index release,October 2020,08:30,bls:sched2020
2020-11-13,ppi,Producer Price Index release,October 2020,08:30,bls:sched2020
2020-11-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-11-20,opex,monthly options expiration,,16:00,computed
2020-11-25,fomc_minutes,minutes of 2020-11-05 meeting,,14:00,fed:fomchistorical2020
2020-12-04,nfp,Employment Situation release,November 2020,08:30,bls:sched2020
2020-12-10,cpi,Consumer Price Index release,November 2020,08:30,bls:sched2020
