date,event,detail,ref_period,time_et,source
2022-04-06,fomc_minutes,minutes of 2022-03-16 meeting,,14:00,fed:fomccalendars
2022-04-12,cpi,Consumer Price Index release,March 2022,08:30,bls:sched2022
2022-04-13,ppi,Producer Price Index release,March 2022,08:30,bls:sched2022
2022-04-14,opex,monthly options expiration,,16:00,computed
2022-04-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-05-04,fomc_decision,May 3-4 Meeting - 2022,,14:00,fed:fomccalendars
2022-05-06,nfp,Employment Situation release,April 2022,08:30,bls:sched2022
2022-05-11,cpi,Consumer Price Index release,April 2022,08:30,bls:sched2022
2022-05-12,ppi,Producer Price Index release,April 2022,08:30,bls:sched2022
2022-05-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-05-20,opex,monthly options expiration,,16:00,computed
2022-05-25,fomc_minutes,minutes of 2022-05-04 meeting,,14:00,fed:fomccalendars
2022-06-03,nfp,Employment Situation release,May 2022,08:30,bls:sched2022
2022-06-10,cpi,Consumer Price Index release,May 2022,08:30,bls:sched2022
2022-06-14,ppi,Producer Price Index release,May 2022,08:30,bls:sched2022
2022-06-15,fomc_decision,June 14-15* Meeting - 2022,,14:00,fed:fomccalendars
2022-06-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-06-17,opex,quad witching,,16:00,computed
2022-06-17,quad_witching,quad witching,,16:00,computed
2022-07-06,fomc_minutes,minutes of 2022-06-15 meeting,,14:00,fed:fomccalendars
2022-07-08,nfp,Employment Situation release,June 2022,08:30,bls:sched2022
2022-07-13,cpi,Consumer Price Index release,June 2022,08:30,bls:sched2022
2022-07-14,ppi,Producer Price Index release,June 2022,08:30,bls:sched2022
2022-07-15,opex,monthly options expiration,,16:00,computed
2022-07-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-07-27,fomc_decision,July 26-27 Meeting - 2022,,14:00,fed:fomccalendars
2022-08-05,nfp,Employment Situation release,July 2022,08:30,bls:sched2022
2022-08-10,cpi,Consumer Price Index release,July 2022,08:30,bls:sched2022
2022-08-11,ppi,Producer Price Index release,July 2022,08:30,bls:sched2022
2022-08-17,fomc_minutes,minutes of 2022-07-27 meeting,,14:00,fed:fomccalendars
2022-08-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-08-19,opex,monthly options expiration,,16:00,computed
2022-08-26,jackson_hole,"Jackson Hole symposium Aug 25-27, 2022",2022,10:00,manual:kcfed
2022-09-02,nfp,Employment Situation release,August 2022,08:30,bls:sched2022
2022-09-13,cpi,Consumer Price Index release,August 2022,08:30,bls:sched2022
2022-09-14,ppi,Producer Price Index release,August 2022,08:30,bls:sched2022
2022-09-16,opex,quad witching,,16:00,computed
2022-09-16,quad_witching,quad witching,,16:00,computed
2022-09-21,fomc_decision,September 20-21* Meeting - 2022,,14:00,fed:fomccalendars
2022-09-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-10-07,nfp,Employment Situation release,September 2022,08:30,bls:sched2022
2022-10-12,fomc_minutes,minutes of 2022-09-21 meeting,,14:00,fed:fomccalendars
2022-10-12,ppi,Producer Price Index release,September 2022,08:30,bls:sched2022
2022-10-13,cpi,Consumer Price Index release,September 2022,08:30,bls:sched2022
2022-10-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-10-21,opex,monthly options expiration,,16:00,computed
2022-11-02,fomc_decision,November 1-2 Meeting - 2022,,14:00,fed:fomccalendars
2022-11-04,nfp,Employment Situation release,October 2022,08:30,bls:sched2022
2022-11-08,election,US general election (midterm),,,computed
2022-11-10,cpi,Consumer Price Index release,October 2022,08:30,bls:sched2022
2022-11-15,ppi,Producer Price Index release,October 2022,08:30,bls:sched2022
2022-11-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-11-18,opex,monthly options expiration,,16:00,computed
2022-11-23,fomc_minutes,minutes of 2022-11-02 meeting,,14:00,fed:fomccalendars
2022-12-02,nfp,Employment Situation release,November 2022,08:30,bls:sched2022
2022-12-09,ppi,Producer Price Index release,November 2022,08:30,bls:sched2022
2022-12-13,cpi,Consumer Price Index release,November 2022,08:30,bls:sched2022
2022-12-14,fomc_decision,December 13-14* Meeting - 2022,,14:00,fed:fomccalendars
2022-12-16,opex,quad witching,,16:00,computed
2022-12-16,quad_witching,quad witching,,16:00,computed
2022-12-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-01-04,fomc_minutes,minutes of 2022-12-14 meeting,,14:00,fed:fomccalendars
2023-01-06,nfp,Employment Situation release,December 2022,08:30,bls:sched2023
2023-01-12,cpi,Consumer Price Index release,December 2022,08:30,bls:sched2023
2023-01-18,ppi,Producer Price Index release,December 2022,08:30,bls:sched2023
2023-01-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-01-20,opex,monthly options expiration,,16:00,computed
2023-02-01,fomc_decision,Jan/Feb 31-1 Meeting - 2023,,14:00,fed:fomccalendars
2023-02-03,nfp,Employment Situation release,January 2023,08:30,bls:sched2023
2023-02-14,cpi,Consumer Price Index release,January 2023,08:30,bls:sched2023
2023-02-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-02-16,ppi,Producer Price Index release,January 2023,08:30,bls:sched2023
2023-02-17,opex,monthly options expiration,,16:00,computed
2023-02-22,fomc_minutes,minutes of 2023-02-01 meeting,,14:00,fed:fomccalendars
2023-03-10,nfp,Employment Situation release,February 2023,08:30,bls:sched2023
2023-03-14,cpi,Consumer Price Index release,February 2023,08:30,bls:sched2023
2023-03-15,ppi,Producer Price Index release,February 2023,08:30,bls:sched2023
2023-03-17,opex,quad witching,,16:00,computed
2023-03-17,quad_witching,quad witching,,16:00,computed
2023-03-22,fomc_decision,March 21-22* Meeting - 2023,,14:00,fed:fomccalendars
2023-03-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-04-07,nfp,Employment Situation release,March 2023,08:30,bls:sched2023
2023-04-12,cpi,Consumer Price Index release,March 2023,08:30,bls:sched2023
2023-04-12,fomc_minutes,minutes of 2023-03-22 meeting,,14:00,fed:fomccalendars
2023-04-13,ppi,Producer Price Index release,March 2023,08:30,bls:sched2023
2023-04-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-04-21,opex,monthly options expiration,,16:00,computed
2023-05-03,fomc_decision,May 2-3 Meeting - 2023,,14:00,fed:fomccalendars
2023-05-05,nfp,Employment Situation release,April 2023,08:30,bls:sched2023
2023-05-10,cpi,Consumer Price Index release,April 2023,08:30,bls:sched2023
2023-05-11,ppi,Producer Price Index release,April 2023,08:30,bls:sched2023
2023-05-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-05-19,opex,monthly options expiration,,16:00,computed
2023-05-24,fomc_minutes,minutes of 2023-05-03 meeting,,14:00,fed:fomccalendars
2023-06-02,nfp,Employment Situation release,May 2023,08:30,bls:sched2023
2023-06-13,cpi,Consumer Price Index release,May 2023,08:30,bls:sched2023
2023-06-14,fomc_decision,June 13-14* Meeting - 2023,,14:00,fed:fomccalendars
2023-06-14,ppi,Producer Price Index release,May 2023,08:30,bls:sched2023
2023-06-16,opex,quad witching,,16:00,computed
2023-06-16,quad_witching,quad witching,,16:00,computed
2023-06-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-07-05,fomc_minutes,minutes of 2023-06-14 meeting,,14:00,fed:fomccalendars
2023-07-07,nfp,Employment Situation release,June 2023,08:30,bls:sched2023
2023-07-12,cpi,Consumer Price Index release,June 2023,08:30,bls:sched2023
2023-07-13,ppi,Producer Price Index release,June 2023,08:30,bls:sched2023
2023-07-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-07-21,opex,monthly options expiration,,16:00,computed
2023-07-26,fomc_decision,July 25-26 Meeting - 2023,,14:00,fed:fomccalendars
2023-08-04,nfp,Employment Situation release,July 2023,08:30,bls:sched2023
2023-08-10,cpi,Consumer Price Index release,July 2023,08:30,bls:sched2023
2023-08-11,ppi,Producer Price Index release,July 2023,08:30,bls:sched2023
2023-08-16,fomc_minutes,minutes of 2023-07-26 meeting,,14:00,fed:fomccalendars
2023-08-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-08-18,opex,monthly options expiration,,16:00,computed
2023-08-25,jackson_hole,"Jackson Hole symposium Aug 24-26, 2023",2023,10:00,manual:kcfed
2023-09-01,nfp,Employment Situation release,August 2023,08:30,bls:sched2023
2023-09-13,cpi,Consumer Price Index release,August 2023,08:30,bls:sched2023
2023-09-14,ppi,Producer Price Index release,August 2023,08:30,bls:sched2023
2023-09-15,opex,quad witching,,16:00,computed
2023-09-15,quad_witching,quad witching,,16:00,computed
2023-09-20,fomc_decision,September 19-20* Meeting - 2023,,14:00,fed:fomccalendars
2023-09-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-10-06,nfp,Employment Situation release,September 2023,08:30,bls:sched2023
2023-10-11,fomc_minutes,minutes of 2023-09-20 meeting,,14:00,fed:fomccalendars
2023-10-11,ppi,Producer Price Index release,September 2023,08:30,bls:sched2023
2023-10-12,cpi,Consumer Price Index release,September 2023,08:30,bls:sched2023
2023-10-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-10-20,opex,monthly options expiration,,16:00,computed
2023-11-01,fomc_decision,Oct/Nov 31-1 Meeting - 2023,,14:00,fed:fomccalendars
2023-11-03,nfp,Employment Situation release,October 2023,08:30,bls:sched2023
2023-11-14,cpi,Consumer Price Index release,October 2023,08:30,bls:sched2023
2023-11-15,ppi,Producer Price Index release,October 2023,08:30,bls:sched2023
2023-11-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2023-11-17,opex,monthly options expiration,,16:00,computed
2023-11-21,fomc_minutes,minutes of 2023-11-01 meeting,,14:00,fed:fomccalendars
2023-12-08,nfp,Employment Situation release,November 2023,08:30,bls:sched2023
2023-12-12,cpi,Consumer Price Index release,November 2023,08:30,bls:sched2023
2023-12-13,fomc_decision,December 12-13* Meeting - 2023,,14:00,fed:fomccalendars
2023-12-13,ppi,Producer Price Index release,November 2023,08:30,bls:sched2023
2023-12-15,opex,quad witching,,16:00,computed
2023-12-15,quad_witching,quad witching,,16:00,computed
2023-12-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-01-03,fomc_minutes,minutes of 2023-12-13 meeting,,14:00,fed:fomccalendars
2024-01-05,nfp,Employment Situation release,December 2023,08:30,bls:sched2024
2024-01-11,cpi,Consumer Price Index release,December 2023,08:30,bls:sched2024
2024-01-12,ppi,Producer Price Index release,December 2023,08:30,bls:sched2024
2024-01-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-01-19,opex,monthly options expiration,,16:00,computed
2024-01-31,fomc_decision,January 30-31 Meeting - 2024,,14:00,fed:fomccalendars
2024-02-02,nfp,Employment Situation release,January 2024,08:30,bls:sched2024
2024-02-13,cpi,Consumer Price Index release,January 2024,08:30,bls:sched2024
2024-02-14,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-02-16,opex,monthly options expiration,,16:00,computed
2024-02-16,ppi,Producer Price Index release,January 2024,08:30,bls:sched2024
2024-02-21,fomc_minutes,minutes of 2024-01-31 meeting,,14:00,fed:fomccalendars
2024-03-08,nfp,Employment Situation release,February 2024,08:30,bls:sched2024
2024-03-12,cpi,Consumer Price Index release,February 2024,08:30,bls:sched2024
2024-03-14,ppi,Producer Price Index release,February 2024,08:30,bls:sched2024
2024-03-15,opex,quad witching,,16:00,computed
2024-03-15,quad_witching,quad witching,,16:00,computed
2024-03-20,fomc_decision,March 19-20* Meeting - 2024,,14:00,fed:fomccalendars
2024-03-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-04-05,nfp,Employment Situation release,March 2024,08:30,bls:sched2024
2024-04-10,cpi,Consumer Price Index release,March 2024,08:30,bls:sched2024
2024-04-10,fomc_minutes,minutes of 2024-03-20 meeting,,14:00,fed:fomccalendars
2024-04-11,ppi,Producer Price Index release,March 2024,08:30,bls:sched2024
2024-04-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-04-19,opex,monthly options expiration,,16:00,computed
2024-05-01,fomc_decision,Apr/May 30-1 Meeting - 2024,,14:00,fed:fomccalendars
2024-05-03,nfp,Employment Situation release,April 2024,08:30,bls:sched2024
2024-05-14,ppi,Producer Price Index release,April 2024,08:30,bls:sched2024
2024-05-15,cpi,Consumer Price Index release,April 2024,08:30,bls:sched2024
2024-05-17,opex,monthly options expiration,,16:00,computed
2024-05-22,fomc_minutes,minutes of 2024-05-01 meeting,,14:00,fed:fomccalendars
2024-05-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-06-07,nfp,Employment Situation release,May 2024,08:30,bls:sched2024
2024-06-12,cpi,Consumer Price Index release,May 2024,08:30,bls:sched2024
2024-06-12,fomc_decision,June 11-12* Meeting - 2024,,14:00,fed:fomccalendars
2024-06-13,ppi,Producer Price Index release,May 2024,08:30,bls:sched2024
2024-06-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-06-21,opex,quad witching,,16:00,computed
2024-06-21,quad_witching,quad witching,,16:00,computed
2024-07-03,fomc_minutes,minutes of 2024-06-12 meeting,,14:00,fed:fomccalendars
2024-07-05,nfp,Employment Situation release,June 2024,08:30,bls:sched2024
2024-07-11,cpi,Consumer Price Index release,June 2024,08:30,bls:sched2024
2024-07-12,ppi,Producer Price Index release,June 2024,08:30,bls:sched2024
2024-07-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-07-19,opex,monthly options expiration,,16:00,computed
2024-07-31,fomc_decision,July 30-31 Meeting - 2024,,14:00,fed:fomccalendars
2024-08-02,nfp,Employment Situation release,July 2024,08:30,bls:sched2024
2024-08-13,ppi,Producer Price Index release,July 2024,08:30,bls:sched2024
2024-08-14,cpi,Consumer Price Index release,July 2024,08:30,bls:sched2024
2024-08-16,opex,monthly options expiration,,16:00,computed
2024-08-21,fomc_minutes,minutes of 2024-07-31 meeting,,14:00,fed:fomccalendars
2024-08-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-08-23,jackson_hole,"Jackson Hole symposium Aug 22-24, 2024",2024,10:00,manual:kcfed
2024-09-06,nfp,Employment Situation release,August 2024,08:30,bls:sched2024
2024-09-11,cpi,Consumer Price Index release,August 2024,08:30,bls:sched2024
2024-09-12,ppi,Producer Price Index release,August 2024,08:30,bls:sched2024
2024-09-18,fomc_decision,September 17-18* Meeting - 2024,,14:00,fed:fomccalendars
2024-09-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-09-20,opex,quad witching,,16:00,computed
2024-09-20,quad_witching,quad witching,,16:00,computed
2024-10-04,nfp,Employment Situation release,September 2024,08:30,bls:sched2024
2024-10-09,fomc_minutes,minutes of 2024-09-18 meeting,,14:00,fed:fomccalendars
2024-10-10,cpi,Consumer Price Index release,September 2024,08:30,bls:sched2024
2024-10-11,ppi,Producer Price Index release,September 2024,08:30,bls:sched2024
2024-10-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-10-18,opex,monthly options expiration,,16:00,computed
2024-11-01,nfp,Employment Situation release,October 2024,08:30,bls:sched2024
2024-11-05,election,US general election (presidential),,,computed
2024-11-07,fomc_decision,November 6-7 Meeting - 2024,,14:00,fed:fomccalendars
2024-11-13,cpi,Consumer Price Index release,October 2024,08:30,bls:sched2024
2024-11-14,ppi,Producer Price Index release,October 2024,08:30,bls:sched2024
2024-11-15,opex,monthly options expiration,,16:00,computed
2024-11-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-11-26,fomc_minutes,minutes of 2024-11-07 meeting,,14:00,fed:fomccalendars
2024-12-06,nfp,Employment Situation release,November 2024,08:30,bls:sched2024
2024-12-11,cpi,Consumer Price Index release,November 2024,08:30,bls:sched2024
2024-12-12,ppi,Producer Price Index release,November 2024,08:30,bls:sched2024
2024-12-18,fomc_decision,December 17-18* Meeting - 2024,,14:00,fed:fomccalendars
2024-12-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2024-12-20,opex,quad witching,,16:00,computed
2024-12-20,quad_witching,quad witching,,16:00,computed
2025-01-08,fomc_minutes,minutes of 2024-12-18 meeting,,14:00,fed:fomccalendars
2025-01-10,nfp,Employment Situation release,December 2024,08:30,bls:sched2025
2025-01-14,ppi,Producer Price Index release,December 2024,08:30,bls:sched2025
2025-01-15,cpi,Consumer Price Index release,December 2024,08:30,bls:sched2025
2025-01-17,opex,monthly options expiration,,16:00,computed
2025-01-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-01-29,fomc_decision,January 28-29 Meeting - 2025,,14:00,fed:fomccalendars
2025-02-07,nfp,Employment Situation release,January 2025,08:30,bls:sched2025
2025-02-12,cpi,Consumer Price Index release,January 2025,08:30,bls:sched2025
2025-02-13,ppi,Producer Price Index release,January 2025,08:30,bls:sched2025
2025-02-19,fomc_minutes,minutes of 2025-01-29 meeting,,14:00,fed:fomccalendars
2025-02-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-02-21,opex,monthly options expiration,,16:00,computed
2025-03-07,nfp,Employment Situation release,February 2025,08:30,bls:sched2025
2025-03-12,cpi,Consumer Price Index release,February 2025,08:30,bls:sched2025
2025-03-13,ppi,Producer Price Index release,February 2025,08:30,bls:sched2025
2025-03-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-03-19,fomc_decision,March 18-19* Meeting - 2025,,14:00,fed:fomccalendars
2025-03-21,opex,quad witching,,16:00,computed
2025-03-21,quad_witching,quad witching,,16:00,computed
2025-04-04,nfp,Employment Situation release,March 2025,08:30,bls:sched2025
2025-04-09,fomc_minutes,minutes of 2025-03-19 meeting,,14:00,fed:fomccalendars
2025-04-10,cpi,Consumer Price Index release,March 2025,08:30,bls:sched2025
2025-04-11,ppi,Producer Price Index release,March 2025,08:30,bls:sched2025
2025-04-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-04-17,opex,monthly options expiration,,16:00,computed
2025-05-02,nfp,Employment Situation release,April 2025,08:30,bls:sched2025
2025-05-07,fomc_decision,May 6-7 Meeting - 2025,,14:00,fed:fomccalendars
2025-05-13,cpi,Consumer Price Index release,April 2025,08:30,bls:sched2025
2025-05-15,ppi,Producer Price Index release,April 2025,08:30,bls:sched2025
2025-05-16,opex,monthly options expiration,,16:00,computed
2025-05-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-05-28,fomc_minutes,minutes of 2025-05-07 meeting,,14:00,fed:fomccalendars
2025-06-06,nfp,Employment Situation release,May 2025,08:30,bls:sched2025
2025-06-11,cpi,Consumer Price Index release,May 2025,08:30,bls:sched2025
2025-06-12,ppi,Producer Price Index release,May 2025,08:30,bls:sched2025
2025-06-18,fomc_decision,June 17-18* Meeting - 2025,,14:00,fed:fomccalendars
2025-06-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-06-20,opex,quad witching,,16:00,computed
2025-06-20,quad_witching,quad witching,,16:00,computed
2025-07-03,nfp,Employment Situation release,June 2025,08:30,bls:sched2025
2025-07-09,fomc_minutes,minutes of 2025-06-18 meeting,,14:00,fed:fomccalendars
2025-07-15,cpi,Consumer Price Index release,June 2025,08:30,bls:sched2025
2025-07-16,ppi,Producer Price Index release,June 2025,08:30,bls:sched2025
2025-07-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-07-18,opex,monthly options expiration,,16:00,computed
2025-07-30,fomc_decision,July 29-30 Meeting - 2025,,14:00,fed:fomccalendars
2025-08-01,nfp,Employment Situation release,July 2025,08:30,bls:sched2025
2025-08-12,cpi,Consumer Price Index release,July 2025,08:30,bls:sched2025
2025-08-14,ppi,Producer Price Index release,July 2025,08:30,bls:sched2025
2025-08-15,opex,monthly options expiration,,16:00,computed
2025-08-20,fomc_minutes,minutes of 2025-07-30 meeting,,14:00,fed:fomccalendars
2025-08-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-08-22,jackson_hole,"Jackson Hole symposium Aug 21-23, 2025",2025,10:00,manual:kcfed
2025-09-05,nfp,Employment Situation release,August 2025,08:30,bls:sched2025
2025-09-10,ppi,Producer Price Index release,August 2025,08:30,bls:sched2025
2025-09-11,cpi,Consumer Price Index release,August 2025,08:30,bls:sched2025
2025-09-17,fomc_decision,September 16-17* Meeting - 2025,,14:00,fed:fomccalendars
2025-09-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-09-19,opex,quad witching,,16:00,computed
2025-09-19,quad_witching,quad witching,,16:00,computed
2025-10-08,fomc_minutes,minutes of 2025-09-17 meeting,,14:00,fed:fomccalendars
2025-10-17,opex,monthly options expiration,,16:00,computed
2025-10-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-10-24,cpi,Consumer Price Index release,September 2025,08:30,bls:sched2025+revised
2025-10-29,fomc_decision,October 28-29 Meeting - 2025,,14:00,fed:fomccalendars
2025-11-19,fomc_minutes,minutes of 2025-10-29 meeting,,14:00,fed:fomccalendars
2025-11-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-11-20,nfp,Employment Situation release,September 2025,08:30,bls:sched2025+revised
2025-11-21,opex,monthly options expiration,,16:00,computed
2025-11-25,ppi,Producer Price Index release,September 2025,08:30,bls:sched2025+revised
2025-12-10,fomc_decision,December 9-10* Meeting - 2025,,14:00,fed:fomccalendars
2025-12-16,nfp,NFP release,November 2025,08:30,bls:current:empsit+revised
2025-12-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2025-12-18,cpi,CPI release,November 2025,08:30,bls:current:cpi+revised
2025-12-19,opex,quad witching,,16:00,computed
2025-12-19,quad_witching,quad witching,,16:00,computed
2025-12-30,fomc_minutes,minutes of 2025-12-10 meeting,,14:00,fed:fomccalendars
2026-01-09,nfp,NFP release,December 2025,08:30,bls:current:empsit
2026-01-13,cpi,CPI release,December 2025,08:30,bls:current:cpi
2026-01-14,ppi,PPI release,November 2025,08:30,bls:current:ppi+revised
2026-01-16,opex,monthly options expiration,,16:00,computed
2026-01-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-01-28,fomc_decision,January 27-28 Meeting - 2026,,14:00,fed:fomccalendars
2026-01-30,ppi,PPI release,December 2025,08:30,bls:current:ppi+revised
2026-02-11,nfp,NFP release,January 2026,08:30,bls:current:empsit+revised
2026-02-13,cpi,CPI release,January 2026,08:30,bls:current:cpi+revised
2026-02-18,fomc_minutes,minutes of 2026-01-28 meeting,,14:00,fed:fomccalendars
2026-02-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-02-20,opex,monthly options expiration,,16:00,computed
2026-02-27,ppi,PPI release,January 2026,08:30,bls:current:ppi+revised
2026-03-06,nfp,NFP release,February 2026,08:30,bls:current:empsit
2026-03-11,cpi,CPI release,February 2026,08:30,bls:current:cpi
2026-03-18,fomc_decision,March 17-18* Meeting - 2026,,14:00,fed:fomccalendars
2026-03-18,ppi,PPI release,February 2026,08:30,bls:current:ppi+revised
2026-03-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-03-20,opex,quad witching,,16:00,computed
2026-03-20,quad_witching,quad witching,,16:00,computed
2026-04-03,nfp,NFP release,March 2026,08:30,bls:current:empsit
2026-04-08,fomc_minutes,minutes of 2026-03-18 meeting,,14:00,fed:fomccalendars
2026-04-10,cpi,CPI release,March 2026,08:30,bls:current:cpi
2026-04-14,ppi,PPI release,March 2026,08:30,bls:current:ppi
2026-04-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-04-17,opex,monthly options expiration,,16:00,computed
2026-04-29,fomc_decision,April 28-29 Meeting - 2026,,14:00,fed:fomccalendars
2026-05-08,nfp,NFP release,April 2026,08:30,bls:current:empsit
2026-05-12,cpi,CPI release,April 2026,08:30,bls:current:cpi
2026-05-13,ppi,PPI release,April 2026,08:30,bls:current:ppi
2026-05-15,opex,monthly options expiration,,16:00,computed
2026-05-20,fomc_minutes,minutes of 2026-04-29 meeting,,14:00,fed:fomccalendars
2026-05-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-06-05,nfp,NFP release,May 2026,08:30,bls:current:empsit
2026-06-10,cpi,CPI release,May 2026,08:30,bls:current:cpi
2026-06-11,ppi,PPI release,May 2026,08:30,bls:current:ppi
2026-06-17,fomc_decision,June 16-17* Meeting - 2026,,14:00,fed:fomccalendars
2026-06-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-06-19,opex,quad witching,,16:00,computed
2026-06-19,quad_witching,quad witching,,16:00,computed
2026-07-02,nfp,NFP release,June 2026,08:30,bls:current:empsit
2026-07-08,fomc_minutes,minutes of 2026-06-17 meeting,,14:00,fed:fomccalendars
2026-07-14,cpi,CPI release,June 2026,08:30,bls:current:cpi
2026-07-15,ppi,PPI release,June 2026,08:30,bls:current:ppi
2026-07-17,opex,monthly options expiration,,16:00,computed
2026-07-22,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-07-29,fomc_decision,July 28-29 Meeting - 2026,,14:00,fed:fomccalendars
2026-08-07,nfp,NFP release,July 2026,08:30,bls:current:empsit
2026-08-12,cpi,CPI release,July 2026,08:30,bls:current:cpi
2026-08-13,ppi,PPI release,July 2026,08:30,bls:current:ppi
2026-08-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-08-21,opex,monthly options expiration,,16:00,computed
2026-08-28,jackson_hole,"Jackson Hole symposium Aug 27-29, 2026",2026,10:00,manual:kcfed
2026-09-04,nfp,NFP release,August 2026,08:30,bls:current:empsit
2026-09-10,ppi,PPI release,August 2026,08:30,bls:current:ppi
2026-09-11,cpi,CPI release,August 2026,08:30,bls:current:cpi
2026-09-16,fomc_decision,September 15-16* Meeting - 2026,,14:00,fed:fomccalendars
2026-09-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-09-18,opex,quad witching,,16:00,computed
2026-09-18,quad_witching,quad witching,,16:00,computed
2026-10-02,nfp,NFP release,September 2026,08:30,bls:current:empsit
2026-10-14,cpi,CPI release,September 2026,08:30,bls:current:cpi
2026-10-15,ppi,PPI release,September 2026,08:30,bls:current:ppi
2026-10-16,opex,monthly options expiration,,16:00,computed
2026-10-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-10-28,fomc_decision,October 27-28 Meeting - 2026,,14:00,fed:fomccalendars
2026-11-03,election,US general election (midterm),,,computed
2026-11-06,nfp,NFP release,October 2026,08:30,bls:current:empsit
2026-11-10,cpi,CPI release,October 2026,08:30,bls:current:cpi
2026-11-13,ppi,PPI release,October 2026,08:30,bls:current:ppi
2026-11-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-11-20,opex,monthly options expiration,,16:00,computed
2026-12-04,nfp,NFP release,November 2026,08:30,bls:current:empsit
2026-12-09,fomc_decision,December 8-9* Meeting - 2026,,14:00,fed:fomccalendars
2026-12-10,cpi,CPI release,November 2026,08:30,bls:current:cpi
2026-12-15,ppi,PPI release,November 2026,08:30,bls:current:ppi
2026-12-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2026-12-18,opex,quad witching,,16:00,computed
2026-12-18,quad_witching,quad witching,,16:00,computed
