Strategy,Ticker,Entry Date,Direction,tranches,shares,ledger_entry_px,ledger_exit_px,ledger_R,ATR,stop_atr,entry_side,exit_side,dir,entry_session,live_entry_px,live_entry_qty,live_exit_px,ambiguous,live_R,entry_slip_bps,exit_slip_bps,qty_ratio,diff
Overbot Vol Spike,CAG,2026-02-04,Short,2,6757.0,19.15110412665776,18.874069213867188,0.5546961648577761,0.49943562916346956,1.0,SELL,BUY,-1.0,2026-02-04,19.519586667,3000.0,19.376056666666667,False,0.2873843833963899,-192.40798750048154,265.9667330406198,0.44398401657540326,-0.2673117814613862
Overbot Vol Spike,GLW,2026-02-23,Short,2,453.0,147.20281451089042,159.88607788085938,-1.7033406232124777,7.446098872593471,1.0,SELL,BUY,-1.0,2026-02-23,145.25,301.0,160.13731561499998,False,-1.9993443371797097,132.66149274244657,15.713546637113359,0.6644591611479028,-0.296003713967232
Overbot Vol Spike,SMH,2026-04-24,Short,2,304.0,507.8135811941965,490.1138631490837,1.598683522409465,11.071428571428571,1.0,SELL,BUY,-1.0,2026-04-24,507.81,194.0,485.66999999999996,False,1.999741935483875,0.07052182787387627,-90.670015341558,0.6381578947368421,0.4010584130744099
Overbot Vol Spike,MU,2026-05-04,Short,2,116.0,582.2165249415806,666.487548828125,-2.9122144444430207,28.936974661690847,1.0,SELL,BUY,-1.0,2026-05-04,582.33,103.0,665.996232039,False,-2.8913261672017225,-1.9490181669240587,-7.371732450049052,0.8879310344827587,0.02088827724129816
Overbot Vol Spike,MU,2026-05-05,Short,2,113.0,631.9069666181292,646.5305786132812,-0.493580309293859,29.62758309500558,1.0,SELL,BUY,-1.0,2026-05-05,631.87,101.0,646.5027722770001,False,-0.49389017761177983,0.5850009587179101,-0.4300854004587737,0.8938053097345132,-0.00030986831792084724
Overbot Vol Spike,XLK,2026-05-06,Short,2,1162.0,169.85675893511092,175.31097412109375,-1.8793026478096286,2.9022532871791293,1.0,SELL,BUY,-1.0,2026-05-06,169.95,1032.0,175.53000000000003,False,-1.922644045111435,-5.489393855954304,12.49356350932089,0.8881239242685026,-0.04334139730180642
Overbot Vol Spike,UNH,2026-05-13,Short,2,77.0,400.76656341552734,391.79940290574905,1.0317578425835456,8.691070556640625,1.0,SELL,BUY,-1.0,2026-05-13,403.06,69.0,393.699721739,False,1.0769994559356177,-57.22624574582464,48.50234122761219,0.8961038961038961,0.04524161335207211
Overbot Vol Spike,IBM,2026-05-29,Short,1,382.0,281.9459972381592,295.6789245605469,-1.5555898115878013,8.828102111816406,1.0,SELL,BUY,-1.0,2026-05-29,283.97,506.0,298.2,False,-1.6118979843870542,-71.78689471271964,85.26395458181759,1.324607329842932,-0.05630817279925293
Overbot Vol Spike,SMCI,2026-05-29,Short,2,1311.0,46.429642779486514,50.16999816894531,-1.453774281539129,2.57285703931536,1.0,SELL,BUY,-1.0,2026-05-29,46.42999999999999,1749.0,50.127138,False,-1.436977625847343,-0.07693802753885878,-8.54298794290973,1.334096109839817,0.01679665569178601
Overbot Vol Spike,XLK,2026-06-01,Short,2,710.0,195.28375707353865,195.9962921142578,-0.16737703845913626,4.257065909249442,1.0,SELL,BUY,-1.0,2026-06-01,195.51,585.0,196.3,False,-0.18557382404711334,-11.58534277769665,15.495593435265071,0.823943661971831,-0.018196785587977077
