trade_id,Strategy,Tier,Ticker,Direction,Signal Date,Entry Date,Exit Date,Exit Type,Time Stop,Entry Price,Exit Price,Signal Close,T+1 Open,Return_Pct,R_Multiple,PnL_flat_750k,Risk_flat_750k,PnL_compounded,Risk_compounded,Equity_at_Signal,Risk bps,Entry Criteria,ATR,stop_atr,tgt_atr,Range %,Shares,hold_days_target,Action,Size_Mult,Tranche,Entry Offset ATR,Pivot Rule Version,Pivot Nearest Type,Pivot Level,Pivot Date,Pivot Source Age Bars,Pivot High Source Age Bars,Pivot Low Source Age Bars,Pivot High Expired,Pivot Low Expired,Pivot Max Source Age Bars,Pivot Distance ATR,Pivot Matched Rule,Shares_flat,entry_key,exit_key,entry_live_px,entry_live_qty,entry_orders,exit_live_px,exit_live_qty,exit_orders,entry_ambiguous,live_R,ledger_R,entry_slip_bps,exit_slip_bps,qty_ratio
4399,Overbot Vol Spike,Liquid,CAG,Short,2026-02-03,2026-02-04,2026-02-06,Time,2026-02-06,19.15110412665776,18.874069213867188,18.639972686767578,18.776527404785156,1.446574103291247,0.5546961253529217,1123.0,2024.9001035962706,1252372.0,2257762.300400398,836208333.3980222,60.0,Limit (Open +/- 0.75 ATR),0.49943562916346956,1.0,2.0,92.78360491159175,4520627,2,SELL SHORT,0.75,far,,,,,,,,,False,False,,,,4054,"('CAG', '2026-02-04', 'SELL')","('CAG', '2026-02-06', 'BUY')",19.519586667,3000.0,1.0,19.376056666666667,3000.0,2.0,True,0.2873843833963899,0.5546961253529217,-192.40798750048154,265.9667330406198,0.740009866798224
4402,Overbot Vol Spike,Liquid,CAG,Short,2026-02-03,2026-02-04,2026-02-06,Time,2026-02-06,19.15110412665776,18.874069213867188,18.639972686767578,18.776527404785156,1.446574103291247,0.5546962241077501,749.0,1350.0998964037294,834915.0,1505175.1998907013,836208333.3980222,60.0,Limit (Open +/- 0.75 ATR),0.49943562916346956,1.0,2.0,92.78360491159175,3013752,2,SELL SHORT,0.75,near,,,,,,,,,False,False,,,,2703,"('CAG', '2026-02-04', 'SELL')","('CAG', '2026-02-06', 'BUY')",19.519586667,3000.0,1.0,19.376056666666667,3000.0,2.0,True,0.2873843833963899,0.5546962241077501,-192.40798750048154,265.9667330406198,1.1098779134295227
4425,Overbot Vol Spike,Liquid,GLW,Short,2026-02-20,2026-02-23,2026-02-25,Time,2026-02-25,147.20281451089042,159.88607788085938,139.03700256347656,141.6182403564453,-8.616182653919715,-1.7033407954527864,-2296.0,1348.5099337748345,-2606246.0,1530079.0111747433,850043067.7514129,60.0,Limit (Open +/- 0.75 ATR),7.446098872593471,1.0,2.0,92.7480207863092,205487,2,SELL SHORT,0.75,near,,,,,,,,,False,False,,,,181,"('GLW', '2026-02-23', 'SELL')","('GLW', '2026-02-25', 'BUY')",145.25,301.0,1.0,160.137315615,301.0,1.0,True,-1.9993443371797135,-1.7033407954527864,132.66149274244657,15.713546637115137,1.6629834254143647
4426,Overbot Vol Spike,Liquid,GLW,Short,2026-02-20,2026-02-23,2026-02-25,Time,2026-02-25,147.20281451089042,159.88607788085938,139.03700256347656,141.6182403564453,-8.616182653919715,-1.7033405085966844,-3450.0,2026.4900662251655,-3909362.0,2295114.793706615,850043067.7514129,60.0,Limit (Open +/- 0.75 ATR),7.446098872593471,1.0,2.0,92.7480207863092,308230,2,SELL SHORT,0.75,far,,,,,,,,,False,False,,,,272,"('GLW', '2026-02-23', 'SELL')","('GLW', '2026-02-25', 'BUY')",145.25,301.0,1.0,160.137315615,301.0,1.0,True,-1.9993443371797135,-1.7033405085966844,132.66149274244657,15.713546637115137,1.1066176470588236
4514,Overbot Vol Spike,Liquid,SMH,Short,2026-04-23,2026-04-24,2026-04-28,Target,2026-04-28,507.81358119419644,496.7421526227679,481.8500061035156,499.510009765625,2.1802151382782053,0.9999994395023628,1351.0,1354.4407894736842,1645192.0,1645192.9221267456,913998528.1668175,60.0,Limit (Open +/- 0.75 ATR),11.071428571428571,1.0,2.0,51.668051678705616,148598,2,SELL SHORT,0.75,near,,,,,,,,,False,False,,,,122,"('SMH', '2026-04-24', 'SELL')","('SMH', '2026-04-28', 'BUY')",507.81,194.0,1.0,485.66999999999996,194.0,1.0,True,1.999741935483875,0.9999994395023628,0.0705218278727569,-222.89537065271486,1.5901639344262295
4515,Overbot Vol Spike,Liquid,SMH,Short,2026-04-23,2026-04-24,2026-04-28,Target,2026-04-28,507.81358119419644,485.6707240513393,481.8500061035156,499.510009765625,4.360430276556421,1.9999992263362039,4030.0,2020.5592105263158,4935599.0,2467800.454623934,913998528.1668175,60.0,Limit (Open +/- 0.75 ATR),11.071428571428571,1.0,2.0,51.668051678705616,222898,2,SELL SHORT,0.75,far,,,,,,,,,False,False,,,,182,"('SMH', '2026-04-24', 'SELL')","('SMH', '2026-04-28', 'BUY')",507.81,194.0,1.0,485.66999999999996,194.0,1.0,True,1.999741935483875,1.9999992263362039,0.0705218278727569,-0.014908276399258173,1.065934065934066
4519,Overbot Vol Spike,Liquid,MU,Short,2026-05-01,2026-05-04,2026-05-06,Time,2026-05-06,582.2165249415806,666.487548828125,542.1266479492188,560.5137939453125,-14.474172455857403,-2.912214465795167,-5899.0,2036.6379310344828,-7329135.0,2516687.931497797,932108784.7838646,60.0,Limit (Open +/- 0.75 ATR),28.936974661690847,1.0,2.0,89.63593864084444,86971,2,SELL SHORT,0.75,far,,,,,,,,,False,False,,,,70,"('MU', '2026-05-04', 'SELL')","('MU', '2026-05-06', 'BUY')",582.33,103.0,1.0,665.996232039,103.0,1.0,True,-2.8913261672017225,-2.912214465795167,-1.9490181669240587,-7.371732450049052,1.4714285714285715
4521,Overbot Vol Spike,Liquid,MU,Short,2026-05-01,2026-05-04,2026-05-06,Time,2026-05-06,582.2165249415806,666.487548828125,542.1266479492188,560.5137939453125,-14.474172455857403,-2.912214411950625,-3876.0,1338.3620689655172,-4886118.0,1677801.6000295936,932108784.7838646,60.0,Limit (Open +/- 0.75 ATR),28.936974661690847,1.0,2.0,89.63593864084444,57981,2,SELL SHORT,0.75,near,,,,,,,,,False,False,,,,46,"('MU', '2026-05-04', 'SELL')","('MU', '2026-05-06', 'BUY')",582.33,103.0,1.0,665.996232039,103.0,1.0,True,-2.8913261672017225,-2.912214411950625,-1.9490181669240587,-7.371732450049052,2.239130434782609
4522,Overbot Vol Spike,Liquid,MU,Short,2026-05-04,2026-05-05,2026-05-07,Time,2026-05-07,631.9069666181292,646.5305786132812,576.3613891601562,609.686279296875,-2.3142033191080955,-0.4935802193496825,-658.0,1344.0265486725664,-828632.0,1678819.3033581565,932683974.6694739,60.0,Limit (Open +/- 0.75 ATR),29.62758309500558,1.0,2.0,53.339070777882505,56664,2,SELL SHORT,0.75,near,,,,,,,,,False,False,,,,45,"('MU', '2026-05-05', 'SELL')","('MU', '2026-05-07', 'BUY')",631.87,101.0,1.0,646.502772277,101.0,1.0,True,-0.493890177611776,-0.4935802193496825,0.5850009587179101,-0.43008540046053206,2.2444444444444445
4523,Overbot Vol Spike,Liquid,MU,Short,2026-05-04,2026-05-05,2026-05-07,Time,2026-05-07,631.9069666181292,646.5305786132812,576.3613891601562,609.686279296875,-2.3142033191080955,-0.49358036881574047,-994.0,2030.9734513274336,-1242963.0,2518258.5826544757,932683974.6694739,60.0,Limit (Open +/- 0.75 ATR),29.62758309500558,1.0,2.0,53.339070777882505,84997,2,SELL SHORT,0.75,far,,,,,,,,,False,False,,,,68,"('MU', '2026-05-05', 'SELL')","('MU', '2026-05-07', 'BUY')",631.87,101.0,1.0,646.502772277,101.0,1.0,True,-0.493890177611776,-0.49358036881574047,0.5850009587179101,-0.43008540046053206,1.4852941176470589
