combo,k,N,sig/yr,raw_mean%,exc_mean%,hit_exc%,t_clust,t_nonovl,exc_pre16%,exc_post16%
mom>90,21,8656,420.00963250254324,1.5376572497189045,0.1619103946723044,49.44547134935305,1.6251571123775599,-0.29385378319182076,0.39372951723635197,-0.0692669244017452
mom>90,63,8634,420.00963250254324,4.775433242321014,0.7731597870588303,47.50984479962938,3.2003925414973065,1.3234795948631772,0.585638452321291,0.9619887918233871
mom>90,126,8609,420.00963250254324,9.507960081100464,1.1326097883284092,45.53374375653386,2.204653595841991,-0.019809280383243845,0.2470597391948104,2.0303813740611076
mom>70 dvroc>90,21,15692,763.2907553407935,1.7574787139892578,0.31968941912055016,49.15880703543207,2.357839690724127,0.5183662685750486,0.4555895458906889,0.1920522074215114
mom>70 dvroc>90,63,15744,763.2907553407935,4.678035154938698,0.5830505397170782,47.827743902439025,1.7767043775001279,2.09044686396884,0.5281895864754915,0.6352329161018133
mom>70 dvroc>90,126,15461,763.2907553407935,9.061134606599808,0.7869875058531761,45.83144686630878,1.6569529077611527,-0.7328260944914929,0.34006217028945684,1.2201935052871704
mom>80 dvroc>90,21,11449,556.9783825025432,1.8865063786506653,0.45054955407977104,49.67246047689755,2.7351400214323878,1.207659386589434,0.47126561403274536,0.4313567653298378
mom>80 dvroc>90,63,11472,556.9783825025432,4.9863941967487335,0.952884741127491,47.80334728033473,2.118153721838374,1.3235958295338783,0.42524938471615314,1.4504918828606606
mom>80 dvroc>90,126,11283,556.9783825025432,9.454545378684998,1.178657915443182,45.68820349197908,1.9775555627305186,0.6674129531169921,-0.08321028435602784,2.391182631254196
mom>90 dvroc>90,21,6476,314.85627543234995,2.303757704794407,0.834149494767189,50.3242742433601,4.176933257838653,0.738799597595955,0.8199998177587986,0.8473287336528301
mom>90 dvroc>90,63,6484,314.85627543234995,6.146110221743584,2.081502228975296,48.28809376927822,3.2693730222466026,0.5292254178120543,0.9416081011295319,3.156493976712227
mom>90 dvroc>90,126,6399,314.85627543234995,11.347457021474838,2.90133748203516,46.99171745585248,3.165118259620547,1.0103811133445635,0.7387947756797075,4.99405637383461
mom>70 dvroc>95,21,8735,424.8864445574771,1.9310956820845604,0.5467682145535946,49.3073840870063,3.5638463936977782,0.21342080460686433,0.5528135225176811,0.541187496855855
mom>70 dvroc>95,63,8745,424.8864445574771,5.239211022853851,1.1398366652429104,47.62721555174385,3.4062844477827836,1.349220785421163,0.9038859978318214,1.3617047108709812
mom>70 dvroc>95,126,8599,424.8864445574771,10.382305085659027,2.0771728828549385,46.47051982788696,3.8859264618260814,0.41345429699368996,1.027788408100605,3.0889246612787247
"mom>70 dvroc[80,95]",21,25383,1232.8116416581893,1.4844668097794056,0.08514176588505507,49.01705866130875,0.8443591312039705,0.050915905814610814,0.20088921301066875,-0.023781429626978934
"mom>70 dvroc[80,95]",63,25337,1232.8116416581893,4.319167137145996,0.18009960185736418,47.46023601847101,0.9484098030603945,-0.2807729104319908,0.2261740854009986,0.13604910345748067
"mom>70 dvroc[80,95]",126,24933,1232.8116416581893,8.369635790586472,-0.028274330543354154,45.22119279669514,-0.1167214581220496,-0.39801001203100356,-0.08184038451872766,0.024131539976224303
mom>90 pullback x5<20,21,11474,554.1451869277721,1.804855465888977,0.3405500901862979,49.546801464179886,2.2510073671744157,0.56522432249107,0.6560343317687511,0.03778227837756276
mom>90 pullback x5<20,63,11399,554.1451869277721,5.071153491735458,0.8918546140193939,48.10071058864813,3.4788987604562047,1.01059487758562,0.6346860434859991,1.1424749158322811
mom>90 pullback x5<20,126,11283,554.1451869277721,9.878596663475037,1.228967308998108,46.3351945404591,2.6026594784645645,-0.9743782193095759,-0.00012591216318469378,2.448727935552597
mom>90 strength x5>80,21,10831,524.280518819939,1.528938952833414,0.11142391012981534,48.80435786169329,1.094248068399561,-1.4422548507791613,0.06270555313676596,0.1592068001627922
mom>90 strength x5>80,63,10790,524.280518819939,4.93820458650589,0.7043126039206982,48.2483781278962,3.1532071690527945,-0.9876085041808172,0.17892328323796391,1.2233135290443897
mom>90 strength x5>80,126,10692,524.280518819939,9.584057331085205,0.9948001243174076,45.95024317246539,2.7544555838833342,-1.030093617435175,-0.31307446770370007,2.3056136444211006
mom>70 dvroc>90 pullback x5<30,21,11367,553.0304870295015,1.695268601179123,0.2887645037844777,49.12465910090613,1.8427522523019544,0.23206790315374878,0.3791729686781764,0.20613479427993298
mom>70 dvroc>90 pullback x5<30,63,11378,553.0304870295015,4.915988817811012,0.889268796890974,48.11038846897521,2.911321374065486,0.6257214896352783,0.4258603323251009,1.318926364183426
mom>70 dvroc>90 pullback x5<30,126,11167,553.0304870295015,9.469631314277649,1.1689773760735989,45.96579206590848,1.7901632111006351,0.1637246235104598,0.23289485834538937,2.0543329417705536
mom>70 dvroc>90 strength x5>70,21,11511,557.4428407934893,1.7442934215068817,0.2962128259241581,48.95317522369907,1.7654386329545178,0.7478741434762126,0.36284790839999914,0.23373891599476337
mom>70 dvroc>90 strength x5>70,63,11504,557.4428407934893,4.678555205464363,0.5493383854627609,47.2009735744089,1.6559530137473915,0.6861742606633979,0.3221291583031416,0.7662777788937092
mom>70 dvroc>90 strength x5>70,126,11299,557.4428407934893,9.138696640729904,0.7626485545188189,45.90671740862023,2.0806567406032555,-0.6694793244744639,0.03937578876502812,1.4653502963483334
mom>90 rvroc<50,21,13025,632.313517293998,1.4525708742439747,0.1632699859328568,48.61420345489444,1.1412716903436932,1.6356901721770096,0.16466195229440928,0.16191661125048995
mom>90 rvroc<50,63,13012,632.313517293998,4.656047001481056,0.6706638727337122,47.21026744543499,2.277566618910443,-0.3467201727898379,-0.001160881856776541,1.3332587666809559
mom>90 rvroc<50,126,12801,632.313517293998,9.21073704957962,0.8338147774338722,45.54331692836497,2.1162343626519275,-1.1339882403529506,-0.5205223336815834,2.18794047832489
mom>90 rvroc>50,21,12795,618.9835643438454,5.000800266861916,3.5134632140398026,49.433372411098084,1.0431160601502054,0.5282249365162062,0.26974373031407595,6.683496385812759
mom>90 rvroc>50,63,12708,618.9835643438454,12.03131154179573,7.875887304544449,48.19011646207114,1.072191550954548,-0.655004093918772,0.22138766944408417,15.463221073150635
mom>90 rvroc>50,126,12592,618.9835643438454,11.700216680765152,3.0650464817881584,46.06893265565438,1.2561999225809048,0.37703722018501423,-0.07776787970215082,6.227892637252808
