Component,Tier_Basis,Ledger_Avg_R,Risk_Weighted_R_Full,Risk_Weighted_R_LOYO,Risk_Weighted_R_2018,SE_Cluster_Full,SE_Cluster_2018,Signals,Signals_2018,Episodes,Effective_N,Cluster_Mode,Kish_N,Worst_R,Best_R,Annual_Risk_Budget,Annual_Risk_Budget_2018,Actual_Daily_Mean,Standalone_Full_Kelly_Fraction,Standalone_Full_Kelly_Mult_HeteroQ,Shrunk_R_Full,Shrinkage_Kappa_Full,Shrunk_R_LOYO,Shrinkage_Kappa_LOYO,Shrunk_R_2018,Shrinkage_Kappa_2018,Nominal_Bps,Effective_Bps_Liquid,Effective_Bps_Overflow,Pilot_Frozen,Current_Base_over_Quarter_Standalone_Kelly
3x Bear ETF Overbot Fade,Full,0.6713314128943758,0.6781372516647404,0.5932497249724973,0.6781372516647404,0.21928649123092053,0.21928649123092053,72,72,32,32.0,gap_gt_5td,59.433434907489776,-3.5029333333333335,4.050488888888889,0.007748355263157895,0.02126565983058404,2.085098548841239e-05,0.21742188983185376,80.81937919275157,0.652431565609166,0.7398171687725067,0.5660748525700379,0.7354738797774236,0.674833520187538,0.7542155812292223,25.0,37.5,,True,0.06899029353300377
3x ETF Overbot Fade,Full,0.8609710344827587,0.6897753447257662,0.3493594215227563,0.6539015597702713,0.19034617029364537,0.20639528642960955,87,80,28,28.0,gap_gt_5td,78.32274105854387,-2.3128888888888888,6.043333333333333,0.016541578061314906,0.04068031856685445,4.527766948234784e-05,0.39463661257143606,63.06876962963298,0.6666415379117212,0.7905241729685101,0.37945705830755083,0.7867833949442979,0.6563196491962817,0.7759806503277784,40.0,60.0,,False,0.060815441941934834
3x Leader Gap Fade,Full,1.1553777777777776,1.1553777777777778,0.528871111111111,1.2628656084656082,0.7206884460215498,0.8298816474121435,24,21,12,10.909641223464455,gap_gt_5td,23.99999999999999,-1.8147555555555555,7.531377777777778,0.0036842105263157894,0.008847525635309854,1.689148797920728e-05,0.3595065994260908,95.8684279356716,0.6993814126589026,0.20839334472444698,0.49837052263537196,0.20471517044660653,0.7702429348007137,0.17645030029728606,25.0,37.5,,True,0.04172385158977805
52wh Breakout,Full,0.5188771403574552,0.5188771403574555,0.40517252374020934,0.8439443223443226,0.13607485130777916,0.28121068219394196,254,65,148,148.0,gap_gt_5td,253.99999999999997,-1.9357460317460318,4.0,0.05458771929824561,0.03833927775300936,0.00011239809400043319,0.17250130823182563,32.85739253157351,0.5260883584933048,0.880730536981506,0.41555472733126586,0.8783527602476975,0.781400206383504,0.6510762287830417,35.0,52.5,,False,0.12173820717798826
ATR Extended Gap Up,Full,0.7820156494522692,0.7820156494522692,0.7074256410256412,1.0581722222222223,0.2125447216757557,0.2644032562123112,71,40,57,57.0,gap_gt_5td,71.0,-3.869111111111111,3.9997777777777777,0.01743859649122807,0.026963887650468123,5.411609270088802e-05,0.20164356486470197,33.607260809571265,0.731682344067174,0.7516574710605706,0.6526447294242456,0.7474443609666105,0.9316818497765578,0.6785313596256494,40.0,60.0,,False,0.11902189894382907
Indices Oversold Bounce,Full,0.31681629698567815,0.3121450047698938,0.26935478753541087,0.6465169212339025,0.09239154275496185,0.10298931722228478,307,118,149,149.0,gap_gt_5td,266.0757197849683,-7.137777777777778,2.0,0.05185014619883041,0.04689188586714221,6.422525449426034e-05,0.11927444457187311,22.47136065769061,0.3278457658140932,0.9412382809351932,0.2826280667783245,0.9399845969778458,0.6477360132631441,0.9329386151253815,35.0,52.5,,False,0.17606453817813164
LT Trend ST OS,Full,0.31568774928774923,0.2972248027264838,0.26367566588806207,0.2856448140420989,0.07074092034704384,0.09288617878673196,247,151,98,98.0,gap_gt_5td,235.0015378088292,-4.027851851851852,2.0,0.04239692982456139,0.0682744092732947,5.0005631362356506e-05,0.21632395612987373,46.63783543075407,0.307185402494788,0.9646929848161078,0.27186006591930745,0.963920526466705,0.306583816148288,0.944759385690283,30.0,45.0,,False,0.08320853742704944
Monday Dip,Full,0.38154605887939214,0.46649014139635014,0.36697831846445,0.5386920305519527,0.13416515728989897,0.20484248955458004,117,46,74,65.10096597460984,gap_gt_5td,105.01172805570822,-2.17362962962963,2.0,0.017430921052631575,0.01624152920196166,3.226727312107429e-05,0.31118614524586885,100.60076337970492,0.4796180374710659,0.8836680249832907,0.38163758135184744,0.881340920541874,0.5665898345795004,0.7785952510879606,30.0,45.0,,False,0.05784319216968403
Monthly Weak Close,Full,1.8134518518518516,1.804038986354776,1.7721421012849587,1.8336449553001275,0.1299097131399306,0.14613156107576086,15,8,12,12.0,gap_gt_5td,14.439999999999994,0.41688888888888886,2.0,0.0026249999999999997,0.003665403477485511,1.8792072774528915e-05,inf,inf,1.6694844663560557,0.890132694626078,1.6284959077853343,0.8879185069966344,1.6858634036987556,0.8735774482370076,30.0,45.0,,True,0.0
Overbot Vol Spike P1,Full,0.4965837212266028,0.31154798656845717,0.2799186986995301,0.24566866470756885,0.0608574106968731,0.07730595483170813,651,490,134,134.0,calendar_month_conservative_vs_gap_gt_5td,423.6824304114522,-5.933111111111111,1.6035555555555556,0.08701903224318207,0.16011065291719265,0.0001075817630495993,0.1634353335594863,25.211802770440578,0.3186102805307385,0.9736275624092058,0.2855954143612426,0.9730451158430632,0.26197891717880667,0.9610758917982247,40.0,60.0,60.0,False,0.14684707080959705
Overbot Vol Spike P2,Full,0.23185708031905025,0.18488219217937316,0.15948766367110911,0.12860116685386808,0.05350393616436284,0.06913690560189138,599,401,156,156.0,calendar_month_conservative_vs_gap_gt_5td,517.1248398503752,-5.481111111111111,1.6027200000000001,0.022526456938048948,0.0400622331753774,1.6526748971193415e-05,0.15068456736662011,111.17694370672105,0.19297133272674982,0.97949294707789,0.16642699744161615,0.9790372509823981,0.1454221412355272,0.9686231171913467,8.0,12.0,12.0,False,0.031854622433374044
Oversold Low Volume,Full,0.7040959119851369,0.7604968736459323,0.7097308925750905,0.770048736487163,0.11432479143162078,0.13922247571869137,358,274,99,99.0,gap_gt_5td,294.335721484649,-2.9248,2.00096,0.03200219237560327,0.06666564630056096,9.657764782326187e-05,0.26166111173785966,117.16165103741903,0.744690899216019,0.9127504191904102,0.6902093249373384,0.9109464503333211,0.7578166302685995,0.8838941612227044,35.0,52.5,37.5,False,0.08025648083708542
SPY QQQ MonFri Reversion,Full,0.39602026527505985,0.45860124483212955,0.4241108614232209,0.5788781764977668,0.07799977219207262,0.13976304696642622,365,129,186,186.0,gap_gt_5td,306.0555636976512,-4.811333333333334,2.0,0.05631469298245613,0.04559284440481499,0.00010248408057179987,0.18915420816022321,78.8641408976987,0.46374467150240645,0.957399909365637,0.42700128412411575,0.9564750897646299,0.5889105511766175,0.8830963905353811,35.0,52.5,,False,0.11102052766498292
