variant,trades,totR,avgR,win%,PnL_flat,maxDD_$,maxDD_%NAV,Sharpe_all,Sharpe_inmkt,days_inmkt%
flat,354,236.67865181105714,0.6685837621781275,68.92655367231639,608678.0,-91962.20037456881,-12.261626716609175,0.8950019396244502,2.1677991456456405,17.29518855656697
opencount,354,236.63945085026012,0.6684730250007348,68.92655367231639,476564.0,-71809.53773992416,-9.574605031989886,0.8973817727254029,2.1736527251853666,17.29518855656697
recency,356,240.65467934782188,0.6759962903028705,69.10112359550563,436647.0,-65065.491075413534,-8.675398810055137,0.8949595025129706,2.167694771340692,17.29518855656697
