variant,strategy,n,totR,avgR,win%,PF,worstR,PnL_flat,maxDD_flat,worst5d_flat,maxstack
baseline (max_one_pos),3x ETF Overbot Fade,70,61.95740444444445,0.8851057777777779,74.28571428571429,5.776565512033229,-2.3128888888888888,191401.0,-24870.176206146018,-14112.716040917816,1
baseline (max_one_pos),3x Bear ETF Overbot Fade,49,33.033647971781306,0.6741560810567614,67.3469387755102,2.8504723436852384,-3.5029333333333335,65319.0,-17650.691372190195,-13796.383745465955,1
stacked (multi-pos),3x ETF Overbot Fade,86,74.69625777777779,0.8685611369509045,73.25581395348837,6.154790399693779,-2.3128888888888888,208110.0,-17916.203375850426,-14545.79577342101,3
stacked (multi-pos),3x Bear ETF Overbot Fade,68,43.257590123456794,0.6361410312273058,66.17647058823529,2.7235305856969556,-3.5029333333333335,84273.0,-29106.779954365324,-21062.47232764108,3
