ticker
AAPL
ABT
ADBE
ADI
ADM
ADP
ADSK
AEP
AIG
ALL
AMAT
AMD
AMGN
AMZN
AON
APD
AVGO
AXP
BA
BAC
BAX
BDX
BMY
BNY
C
CAG
CAT
CL
CMCSA
CMS
CNP
COP
COST
CPB
CRM
CSCO
CSX
CVS
CVX
D
DE
DIS
DOV
DTE
DUK
ECL
ED
EIX
EMR
EOG
ETR
EXC
F
FCX
FDX
FE
GD
GE
GILD
GIS
GLW
GOOG
GPC
GS
HAL
HD
HIG
HON
HPQ
HRL
HSY
HUM
IBM
INTC
IP
ITW
JNJ
JPM
KEY
KMB
KO
KR
LEG
LIN
LLY
LMT
LOW
LUV
MAS
MCD
MDT
MET
META
MMM
MO
MRK
MRSH
MS
MSFT
MU
NEE
NEM
NKE
NOC
NSC
NUE
NVDA
ORCL
OXY
PAYX
PCG
PEG
PEP
PFE
PG
PGR
PH
PNW
PPG
PPL
PSA
QCOM
REGN
RF
RHI
ROK
ROST
RTX
SBUX
SCHW
SHW
SLB
SNA
SO
SPG
SRE
STT
SWK
SYK
SYY
T
TAP
TGT
TJX
TMO
TRV
TSN
TXN
UNH
UNP
USB
V
VFC
VLO
VMC
VZ
WFC
WHR
WM
WMB
WMT
XOM
