signal_date,ticker,t_clean,tier,close,atr,nearest_type,nearest_level,nearest_date,nearest_source_age_bars,high_age,low_age,high_expired,low_expired,distance_atr,matched_rule,proposed_action,proposed_offset_atr,affected,staged_with,staged_without
2005-09-02,GDEN,GDEN,Overflow,17.72447395324707,0.45933001382010324,Low,17.783063888549805,2005-05-25,70.0,40.0,70.0,False,False,-0.12755520767184428,default,stage,0.25,False,True,True
2023-08-17,GDX,GDX,Overflow,26.655166625976562,0.6757916041782924,Low,25.757328033447266,2023-03-09,111.0,87.0,111.0,False,False,1.3285731680863297,default,stage,0.25,False,True,True
2019-08-06,GEN,GEN,Overflow,10.258328437805176,0.29545906611851286,Low,8.979214668273926,2019-06-03,45.0,76.0,45.0,False,False,4.329241902559115,default,stage,0.25,False,True,True
2021-08-04,GEN,GEN,Overflow,21.935226440429688,0.4677118573869978,High,21.553552627563477,2020-08-26,236.0,236.0,62.0,False,False,0.8160447652504209,default,stage,0.25,False,True,True
2021-08-05,GEN,GEN,Overflow,21.72692108154297,0.4845314025878906,High,21.553552627563477,2020-08-26,237.0,237.0,63.0,False,False,0.35780643535904644,default,stage,0.25,False,True,True
2025-01-07,GEN,GEN,Overflow,26.230873107910156,0.561117444719587,High,23.042993545532227,2024-01-29,237.0,237.0,171.0,False,False,5.681305388698156,above_high_gt5,skip,0.25,True,False,True
2023-07-07,GFI,GFI,Overflow,12.132658004760742,0.3475636754717146,High,15.944730758666992,2023-05-04,43.0,43.0,84.0,False,False,-10.967983776591417,default,stage,0.25,False,True,True
2024-07-18,GGAL,GGAL,Overflow,24.96193504333496,1.2869984763009208,High,32.81821823120117,2024-05-20,40.0,40.0,183.0,False,False,-6.104345368338483,default,stage,0.25,False,True,True
2026-06-17,GLNG,GLNG,Overflow,49.21226119995117,1.2668805803571428,High,44.79655838012695,2025-08-26,203.0,203.0,140.0,False,False,3.485492546250413,default,stage,0.25,False,True,True
2025-02-24,GM,GM,Overflow,45.884342193603516,1.1738880702427454,Low,39.17546844482422,2024-08-05,138.0,59.0,138.0,False,False,5.715088106647157,default,stage,0.25,False,True,True
2025-02-04,GME,GME,Overflow,25.899999618530273,1.075000217982701,Low,19.510000228881836,2024-09-19,93.0,181.0,93.0,False,False,5.944184273413112,default,stage,0.25,False,True,True
2025-02-05,GME,GME,Overflow,24.93000030517578,1.0400002343314034,Low,19.510000228881836,2024-09-19,94.0,182.0,94.0,False,False,5.211537360641425,default,stage,0.25,False,True,True
2025-02-06,GME,GME,Overflow,24.799999237060547,1.049285888671875,Low,19.510000228881836,2024-09-19,95.0,183.0,95.0,False,False,5.041523063723352,default,stage,0.25,False,True,True
2021-04-19,GSAT,GSAT,Overflow,13.5,1.5642859595162528,Low,4.5,2020-11-05,111.0,42.0,111.0,False,False,5.753423755579321,default,stage,0.25,False,True,True
2021-04-20,GSAT,GSAT,Overflow,13.050000190734863,1.4571431023733956,Low,4.5,2020-11-05,112.0,43.0,112.0,False,False,5.867646202221743,default,stage,0.25,False,True,True
2026-04-15,HCA,HCA,Overflow,487.6027526855469,12.758714948381696,Low,462.7628479003906,2026-01-20,59.0,95.0,59.0,False,False,1.946897072757858,default,stage,0.25,False,True,True
2021-07-13,HE,HE,Overflow,38.02178192138672,0.7038421630859375,High,40.983394622802734,2021-05-10,44.0,44.0,113.0,False,False,-4.207779608472261,default,stage,0.25,False,True,True
2021-07-14,HE,HE,Overflow,38.249454498291016,0.6674142565046038,High,40.983394622802734,2021-05-10,45.0,45.0,114.0,False,False,-4.096316639728327,default,stage,0.25,False,True,True
2024-08-27,HE,HE,Overflow,10.899999618530273,0.8642856734139579,Low,9.520000457763672,2024-04-16,92.0,164.0,92.0,False,False,1.5966933193692288,default,stage,0.25,False,True,True
2026-03-10,HE,HE,Overflow,14.770000457763672,0.6435715811593192,High,12.960000038146973,2025-08-29,131.0,131.0,102.0,False,False,2.812430617828392,above_high_2_3,stage,0.5,True,True,True
2026-03-11,HE,HE,Overflow,14.720000267028809,0.6264286722455706,High,12.960000038146973,2025-08-29,132.0,132.0,103.0,False,False,2.809578020387748,above_high_2_3,stage,0.5,True,True,True
2026-03-17,HE,HE,Overflow,14.489999771118164,0.6271429061889648,High,12.960000038146973,2025-08-29,136.0,136.0,107.0,False,False,2.439634918728055,above_high_2_3,stage,0.5,True,True,True
2026-03-18,HE,HE,Overflow,14.510000228881836,0.6235714639936175,High,12.960000038146973,2025-08-29,137.0,137.0,108.0,False,False,2.485681722521427,above_high_2_3,stage,0.5,True,True,True
2026-03-19,HE,HE,Overflow,14.199999809265137,0.6528572354997907,High,12.960000038146973,2025-08-29,138.0,138.0,109.0,False,False,1.8993429247496816,default,stage,0.25,False,True,True
2026-07-20,HMY,HMY,Overflow,14.329999923706055,0.632857118334089,Low,13.068588256835938,2026-03-20,82.0,118.0,82.0,False,False,1.993201356714788,default,stage,0.25,False,True,True
