ticker,signal_date,cache_win_rule,yf_rule,cache_win_distance,yf_distance,dist_shift_win_vs_yf,cache_win_nearest,yf_nearest,cache_win_level,yf_level,cache_win_pivot_date,yf_pivot_date,cache_win_atr,yf_atr,close_cache,close_yf,ratio_at_pivot,ratio_at_signal,largest_ratio_step_date,largest_ratio_step_pct,implied_dividend_usd,n_ratio_steps_gt_5bps
SNA,2026-09-02,default,default,-1.0978650378783603,4.9361484751357505,6.034013513014111,High,Low,386.9490661621094,351.998779296875,2026-03-02,2026-03-30,5.792214529854911,5.792211718313301,380.5899963378906,380.5899963378906,1.0062044082056838,1.0,2026-04-22,-0.6166079218862475,2.3273627783560182,1
VZ,2026-04-08,default,above_high_4_5,3.8966068880476237,4.666952981020084,0.7703460929724604,High,High,42.8978385925293,42.178810119628906,2025-08-20,2025-08-20,0.9333823067801339,0.9333825338282092,46.53486251831055,46.53486251831055,1.0170471492880206,1.0,2026-03-16,-1.676137470508221,0.8275604587013146,1
RTX,2026-09-03,default,default,-2.0796954930896354,-1.9205403592453638,0.1591551338442716,High,High,211.27992248535156,210.58038330078125,2026-03-02,2026-03-02,4.3996429443359375,4.400000435965402,202.1300048828125,202.1300048828125,1.003321957979206,1.0,2026-04-20,-0.33108971751326655,0.6434141311076419,1
NUE,2026-03-16,above_high_2_3,above_high_2_3,2.5481019287132436,2.636721148520406,0.08861921980716225,High,High,148.70645141601562,148.3421173095703,2025-08-27,2025-08-27,5.134431021554129,5.100041656986933,161.7895050048828,161.7895050048828,1.0024560395459705,1.0,2026-03-03,-0.2449970373792243,0.4320862346633724,1
XLK,2026-07-29,default,default,3.573994036512193,3.6101932743504452,0.036199237838252074,High,High,149.044677734375,148.86717224121094,2026-01-28,2026-01-28,4.903569902692523,4.903569902692523,166.57000732421875,166.57000732421875,1.0011923749910185,1.0,2026-02-23,-0.11909452159777345,0.1645686537660092,1
XLK,2026-07-20,above_high_4_5,above_high_gt5,4.999525091477109,5.03280587971082,0.03328078823371161,High,High,149.044677734375,148.86717224121094,2026-01-28,2026-01-28,5.3335723876953125,5.3335723876953125,175.7100067138672,175.7100067138672,1.0011923749910185,1.0,2026-02-23,-0.11909452159777345,0.1645686537660092,1
CL,2025-01-07,default,default,-15.526673040595698,-15.526705103897973,-3.206330227456533e-05,High,High,104.38202667236328,103.78704071044922,2024-09-04,2024-09-04,1.294436318533761,1.2870561800801508,84.28373718261719,83.80329895019531,1.0057327577493416,1.0057329274436726,,0.0,0.0,0
AEP,2025-01-07,default,default,9.257918268427211,9.257894514516405,-2.375391080633449e-05,Low,Low,73.55506896972656,72.9992904663086,2024-04-16,2024-04-16,1.3563581194196428,1.3461114925844424,86.11212158203125,85.4614486694336,1.0076134781566743,1.0076136424402828,,0.0,0.0,0
NEE,2025-01-07,default,default,-11.131540932178726,-11.131563016287133,-2.208410840687236e-05,High,High,81.142578125,80.53694915771484,2024-10-02,2024-10-02,1.2396207536969865,1.2303656111855312,67.34368896484375,66.84105682373047,1.0075198896111541,1.0075198114003312,,0.0,0.0,0
PNW,2025-01-06,default,default,-1.1316468849542773,-1.1316654584926995,-1.8573538422161917e-05,Low,Low,79.8003158569336,79.08126068115234,2024-10-10,2024-10-10,1.281740461077009,1.270191048654766,78.34983825683594,77.64382934570312,1.0090926114428096,1.0090929171974423,,0.0,0.0,0
