Symbol,Position
XLF,55338
XLV,16664
XLB,40221
SPY,3594
XLU,29218
GOOGL,4695
GOOG,4716
CP,4596
WWW,4529
MCHP,6536
CHH,2578
DIN,2080
TRMB,2789
AMGN,1011
WT,5269
