Action,Quantity,Symbol,SecType,Exchange,Currency
Buy,65,AMZN,STK,SMART,USD
Buy,322,CINF,STK,SMART,USD
Buy,54,CMI,STK,SMART,USD
Buy,47,CRS,STK,SMART,USD
Buy,3012,D,STK,SMART,USD
Buy,176,FTI,STK,SMART,USD
Buy,1354,LUV,STK,SMART,USD
Buy,94,MOD,STK,SMART,USD
Buy,313,ON,STK,SMART,USD
Buy,637,POWI,STK,SMART,USD
Buy,139,UNH,STK,SMART,USD
Buy,1800,UVXY,STK,SMART,USD
Buy,889,WERN,STK,SMART,USD
Buy,96,WWD,STK,SMART,USD
