symbol,position,gross_shares,notional,price,klass,strategies,tiers,long_notional,short_notional,pct_nav
RETL,-13580,13580,151503.6935,11.4568,lev3x,3x ETF Overbot Fade,Liquid,0.0000,151503.6935,0.2020
SPXL,-1494,1494,113863.0229,76.2041,lev3x,3x ETF Overbot Fade,Liquid,0.0000,113863.0229,0.1518
TNA,-2200,2200,96276.8106,43.7626,lev3x,3x ETF Overbot Fade,Liquid,0.0000,96276.8106,0.1284
TECL,-2991,2991,89303.5109,29.8473,lev3x,3x ETF Overbot Fade,Liquid,0.0000,89303.5109,0.1191
TQQQ,-6954,6954,87806.9701,12.6196,lev3x,3x ETF Overbot Fade,Liquid,0.0000,87806.9701,0.1171
SOXL,-3895,3895,67356.2363,17.2904,lev3x,3x ETF Overbot Fade,Liquid,0.0000,67356.2363,0.0898
TBBK,1728,1728,57966.0718,33.5452,single,52wh Breakout,Overflow,57966.0718,0.0000,0.0773
QQQ,-167,167,51097.2033,306.2014,broad_idx,Overbot Vol Spike,Liquid,0.0000,51097.2033,0.0681
DRN,-3901,3901,49063.7566,12.5772,lev3x,3x ETF Overbot Fade,Liquid,0.0000,49063.7566,0.0654
NAIL,-766,766,38527.2892,50.2967,lev3x,3x ETF Overbot Fade,Liquid,0.0000,38527.2892,0.0514
WEBL,-3371,3371,33329.2517,9.8871,lev3x,3x ETF Overbot Fade,Liquid,0.0000,33329.2517,0.0444
VNQ,-369,369,30292.2340,82.0928,sector_etf,Overbot Vol Spike,Liquid,0.0000,30292.2340,0.0404
IYR,-345,345,30230.5748,87.6249,sector_etf,Overbot Vol Spike,Liquid,0.0000,30230.5748,0.0403
XLRE,-765,765,28674.9455,37.4836,sector_etf,Overbot Vol Spike,Overflow,0.0000,28674.9455,0.0382
XLC,-497,497,28409.3616,57.1617,sector_etf,Overbot Vol Spike,Overflow,0.0000,28409.3616,0.0379
IWM,-147,147,28073.6115,190.9769,smallcap_idx,Overbot Vol Spike,Liquid,0.0000,28073.6115,0.0374
PSA,-96,96,26287.9137,273.8324,single,Overbot Vol Spike,Liquid,0.0000,26287.9137,0.0351
XLK,-368,368,25826.3871,70.1804,sector_etf,Overbot Vol Spike,Liquid,0.0000,25826.3871,0.0344
XLY,-300,300,22965.7425,76.5525,sector_etf,Overbot Vol Spike,Liquid,0.0000,22965.7425,0.0306
XHB,-303,303,21474.6027,70.8733,sector_etf,Overbot Vol Spike,Liquid,0.0000,21474.6027,0.0286
ITB,-295,295,21000.0385,71.1866,sector_etf,Overbot Vol Spike,Liquid,0.0000,21000.0385,0.0280
GWRE,-253,253,19795.9390,78.2448,single,Overbot Vol Spike,Overflow,0.0000,19795.9390,0.0264
NOVT,-110,110,19003.6987,172.7609,single,Overbot Vol Spike,Overflow,0.0000,19003.6987,0.0253
SBGI,-1060,1060,18759.6137,17.6977,single,Overbot Vol Spike,Overflow,0.0000,18759.6137,0.0250
POOL,-47,47,18524.5188,394.1387,single,Overbot Vol Spike,Overflow,0.0000,18524.5188,0.0247
BLDR,-212,212,17900.2577,84.4352,single,Overbot Vol Spike,Overflow,0.0000,17900.2577,0.0239
ADSK,-77,77,17807.6382,231.2680,single,Overbot Vol Spike,Liquid,0.0000,17807.6382,0.0237
ZBRA,-50,50,17176.8299,343.5366,single,Overbot Vol Spike,Overflow,0.0000,17176.8299,0.0229
WSM,-225,225,15404.9707,68.4665,single,Overbot Vol Spike,Overflow,0.0000,15404.9707,0.0205
THO,-147,147,14084.5646,95.8134,single,Overbot Vol Spike,Overflow,0.0000,14084.5646,0.0188
UPBD,-577,577,13877.2275,24.0507,single,Overbot Vol Spike,Overflow,0.0000,13877.2275,0.0185
PSKY,-543,543,13099.3060,24.1240,single,Overbot Vol Spike,Overflow,0.0000,13099.3060,0.0175
MRVL,-250,250,11986.3809,47.9455,single,Overbot Vol Spike,Overflow,0.0000,11986.3809,0.0160
KMX,-146,146,11626.0841,79.6307,single,Overbot Vol Spike,Overflow,0.0000,11626.0841,0.0155
PAR,-297,297,11338.8229,38.1779,single,Overbot Vol Spike,Overflow,0.0000,11338.8229,0.0151
CNK,-851,851,10909.3675,12.8195,single,Overbot Vol Spike,Overflow,0.0000,10909.3675,0.0145
BNS,-135,135,6379.5265,47.2558,single,Overbot Vol Spike,Overflow,0.0000,6379.5265,0.0085
MDT,-65,65,5090.1124,78.3094,single,Overbot Vol Spike,Liquid,0.0000,5090.1124,0.0068
TGT,-25,25,4036.3455,161.4538,single,Overbot Vol Spike,Liquid,0.0000,4036.3455,0.0054
WBD,-148,148,2371.9644,16.0268,single,Overbot Vol Spike,Overflow,0.0000,2371.9644,0.0032
NVDA,-102,102,2214.3546,21.7094,single,Overbot Vol Spike,Liquid,0.0000,2214.3546,0.0030
