Strategy,Tier,Ticker,symbol,Direction,sign,klass,Entry Date,Exit Date,Exit Type,Entry Price,etf_price,Shares_flat,etf_shares,signed_shares,notional,Risk_flat_750k,Tranche
Overbot Vol Spike,Liquid,ADSK,ADSK,Short,-1,single,2023-02-02,2023-02-03,Target,231.2680,231.2680,31,31,-31,7169.3089,199.6112,near
Overbot Vol Spike,Liquid,ADSK,ADSK,Short,-1,single,2023-02-02,2023-02-06,Target,231.2680,231.2680,46,46,-46,10638.3293,299.0590,far
Overbot Vol Spike,Overflow,BLDR,BLDR,Short,-1,single,2023-02-02,2023-02-03,Target,84.4352,84.4352,85,85,-85,7176.9901,199.3637,near
Overbot Vol Spike,Overflow,BLDR,BLDR,Short,-1,single,2023-02-02,2023-02-06,Time,84.4352,84.4352,127,127,-127,10723.2676,299.3065,far
Overbot Vol Spike,Overflow,BNS,BNS,Short,-1,single,2023-02-02,2023-02-03,Target,47.2558,47.2558,54,54,-54,2551.8106,39.8772,near
Overbot Vol Spike,Overflow,BNS,BNS,Short,-1,single,2023-02-02,2023-02-06,Time,47.2558,47.2558,81,81,-81,3827.7159,59.8568,far
Overbot Vol Spike,Overflow,CNK,CNK,Short,-1,single,2023-02-02,2023-02-06,Target,12.8195,12.8195,340,340,-340,4358.6192,199.4941,near
Overbot Vol Spike,Overflow,CNK,CNK,Short,-1,single,2023-02-02,2023-02-06,Time,12.8195,12.8195,511,511,-511,6550.7483,299.1762,far
3x ETF Overbot Fade,Liquid,DRN,DRN,Short,-1,lev3x,2023-02-02,2023-02-06,Time,12.5772,12.5772,3901,3901,-3901,49063.7566,2343.7500,
Overbot Vol Spike,Overflow,GWRE,GWRE,Short,-1,single,2023-02-02,2023-02-03,Target,78.2448,78.2448,101,101,-101,7902.7266,199.4245,near
Overbot Vol Spike,Overflow,GWRE,GWRE,Short,-1,single,2023-02-02,2023-02-06,Target,78.2448,78.2448,152,152,-152,11893.2123,299.2457,far
Overbot Vol Spike,Liquid,ITB,ITB,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,71.1866,71.1866,118,118,-118,8400.0154,199.5430,near
Overbot Vol Spike,Liquid,ITB,ITB,Short,-1,sector_etf,2023-02-02,2023-02-06,Time,71.1866,71.1866,177,177,-177,12600.0231,299.1273,far
Overbot Vol Spike,Liquid,IWM,IWM,Short,-1,smallcap_idx,2023-02-02,2023-02-06,Target,190.9769,190.9769,59,59,-59,11267.6400,199.6187,near
Overbot Vol Spike,Liquid,IWM,IWM,Short,-1,smallcap_idx,2023-02-02,2023-02-06,Time,190.9769,190.9769,88,88,-88,16805.9715,299.0515,far
Overbot Vol Spike,Liquid,IYR,IYR,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,87.6249,87.6249,138,138,-138,12092.2299,199.5001,near
Overbot Vol Spike,Liquid,IYR,IYR,Short,-1,sector_etf,2023-02-02,2023-02-06,Target,87.6249,87.6249,207,207,-207,18138.3449,299.1701,far
Overbot Vol Spike,Overflow,KMX,KMX,Short,-1,single,2023-02-02,2023-02-06,Time,79.6307,79.6307,58,58,-58,4618.5814,199.5438,near
Overbot Vol Spike,Overflow,KMX,KMX,Short,-1,single,2023-02-02,2023-02-06,Time,79.6307,79.6307,88,88,-88,7007.5028,299.1264,far
Overbot Vol Spike,Liquid,MDT,MDT,Short,-1,single,2023-02-02,2023-02-06,Time,78.3094,78.3094,39,39,-39,3054.0675,59.8067,far
Overbot Vol Spike,Liquid,MDT,MDT,Short,-1,single,2023-02-02,2023-02-06,Target,78.3094,78.3094,26,26,-26,2036.0450,39.9273,near
Overbot Vol Spike,Overflow,MRVL,MRVL,Short,-1,single,2023-02-02,2023-02-06,Time,47.9455,47.9455,150,150,-150,7191.8285,299.1138,far
Overbot Vol Spike,Overflow,MRVL,MRVL,Short,-1,single,2023-02-02,2023-02-06,Target,47.9455,47.9455,100,100,-100,4794.5524,199.5564,near
3x ETF Overbot Fade,Liquid,NAIL,NAIL,Short,-1,lev3x,2023-02-02,2023-02-06,Time,50.2967,50.2967,766,766,-766,38527.2892,2343.7500,
Overbot Vol Spike,Overflow,NOVT,NOVT,Short,-1,single,2023-02-02,2023-02-03,Target,172.7609,172.7609,44,44,-44,7601.4795,199.3682,near
Overbot Vol Spike,Overflow,NOVT,NOVT,Short,-1,single,2023-02-02,2023-02-06,Time,172.7609,172.7609,66,66,-66,11402.2192,299.3021,far
Overbot Vol Spike,Liquid,NVDA,NVDA,Short,-1,single,2023-02-02,2023-02-06,Time,21.7094,21.7094,41,41,-41,890.0837,39.9153,near
