Symbol,Position
RETL,-20370
SPXL,-2241
TNA,-3300
TECL,-4486
TQQQ,-10431
SOXL,-5842
TBBK,2592
QQQ,-250
DRN,-5852
NAIL,-1149
WEBL,-5056
VNQ,-554
IYR,-518
XLRE,-1148
XLC,-746
IWM,-220
PSA,-144
XLK,-552
XLY,-450
XHB,-454
ITB,-442
GWRE,-380
NOVT,-165
SBGI,-1590
POOL,-70
BLDR,-318
ADSK,-116
ZBRA,-75
WSM,-338
THO,-220
UPBD,-866
PSKY,-814
MRVL,-375
KMX,-219
PAR,-446
CNK,-1276
BNS,-202
MDT,-98
TGT,-38
WBD,-222
NVDA,-153
