Symbol,Position
RETL,-13580
SPXL,-1494
TNA,-2200
TECL,-2991
TQQQ,-6954
SOXL,-3895
TBBK,1728
QQQ,-167
DRN,-3901
NAIL,-766
WEBL,-3371
VNQ,-369
IYR,-345
XLRE,-765
XLC,-497
IWM,-147
PSA,-96
XLK,-368
XLY,-300
XHB,-303
ITB,-295
GWRE,-253
NOVT,-110
SBGI,-1060
POOL,-47
BLDR,-212
ADSK,-77
ZBRA,-50
WSM,-225
THO,-147
UPBD,-577
PSKY,-543
MRVL,-250
KMX,-146
PAR,-297
CNK,-851
BNS,-135
MDT,-65
TGT,-25
WBD,-148
NVDA,-102
