Symbol,Position
RETL,-16975
SPXL,-1868
TNA,-2750
TECL,-3739
TQQQ,-8692
SOXL,-4869
TBBK,2160
QQQ,-209
DRN,-4876
NAIL,-958
WEBL,-4214
VNQ,-461
IYR,-431
XLRE,-956
XLC,-621
IWM,-184
PSA,-120
XLK,-460
XLY,-375
XHB,-379
ITB,-369
GWRE,-316
NOVT,-138
SBGI,-1325
POOL,-59
BLDR,-265
ADSK,-96
ZBRA,-62
WSM,-281
THO,-184
UPBD,-721
PSKY,-679
MRVL,-312
KMX,-182
PAR,-371
CNK,-1064
BNS,-169
MDT,-81
TGT,-31
WBD,-185
NVDA,-128
