Symbol,Position
XLF,44270
XLV,13331
XLB,32177
SPY,2875
XLU,23374
GOOGL,3756
GOOG,3773
CP,3677
WWW,3623
MCHP,5229
CHH,2062
DIN,1664
TRMB,2231
AMGN,809
WT,4215
