Strategy,Tier,Ticker,symbol,Direction,sign,klass,Entry Date,Exit Date,Exit Type,Entry Price,etf_price,Shares_flat,etf_shares,signed_shares,notional,Risk_flat_750k,Tranche
52wh Breakout,Liquid,AMGN,AMGN,Long,1,single,2013-08-27,2013-11-25,Time,78.9201,78.9201,809,809,809,63846.3341,3937.5000,
52wh Breakout,Overflow,CHH,CHH,Long,1,single,2013-10-28,2014-01-29,Time,40.6287,40.6287,2062,2062,2062,83776.4193,3937.5000,
52wh Breakout,Overflow,CP,CP,Long,1,single,2013-10-24,2014-01-27,Time,25.4755,25.4755,3677,3677,3677,93673.4472,3937.5000,
52wh Breakout,Overflow,DIN,DIN,Long,1,single,2013-10-30,2014-01-31,Time,47.1067,47.1067,1664,1664,1664,78385.6179,3937.5000,
52wh Breakout,Liquid,GOOG,GOOG,Long,1,single,2013-10-21,2014-01-22,Time,24.8553,24.8553,3773,3773,3773,93778.9583,3937.5000,
52wh Breakout,Overflow,GOOGL,GOOGL,Long,1,single,2013-10-21,2014-01-22,Time,24.9721,24.9721,3756,3756,3756,93795.0246,3937.5000,
52wh Breakout,Overflow,MCHP,MCHP,Long,1,single,2013-11-01,2014-02-04,Time,16.3125,16.3125,5229,5229,5229,85298.2814,3937.5000,
Indices Oversold Bounce,Liquid,^GSPC,SPY,Long,1,broad_idx,2013-11-01,2013-11-05,Time,1753.1477,176.8300,290,2875,2875,508412.8395,3937.5000,
52wh Breakout,Overflow,TRMB,TRMB,Long,1,single,2013-11-04,2014-02-05,Time,32.3300,32.3300,2231,2231,2231,72128.2341,3937.5000,
52wh Breakout,Overflow,WT,WT,Long,1,single,2013-10-31,2014-01-29,Time,10.7891,10.7891,4215,4215,4215,45475.9435,3937.5000,
52wh Breakout,Overflow,WWW,WWW,Long,1,single,2013-10-09,2014-01-09,Time,23.7434,23.7434,3623,3623,3623,86022.4227,3937.5000,
Weak Close Decent Sznls,Liquid,XLB,XLB,Long,1,sector_etf,2013-11-01,2013-11-05,Time,16.9901,16.9901,32177,32177,32177,546689.9910,5906.2500,
Weak Close Decent Sznls,Liquid,XLF,XLF,Long,1,sector_etf,2013-11-01,2013-11-05,Time,13.2150,13.2150,44270,44270,44270,585028.1171,5906.2500,
Weak Close Decent Sznls,Liquid,XLU,XLU,Long,1,sector_etf,2013-10-31,2013-11-04,Time,12.8572,12.8572,23374,23374,23374,300524.2340,3937.5000,
Weak Close Decent Sznls,Liquid,XLV,XLV,Long,1,sector_etf,2013-11-01,2013-11-05,Time,43.0523,43.0523,13331,13331,13331,573930.4217,5906.2500,
