today,today_grm1.875,study_C_grm1.875,ship_grm1.875,ship_grm1.5eq,ship_noclip,ship_noflow,ship_noflow_norelief,ship_ratioclip,ship_libfam,ship_noguard,Strategy,Ticker,SignalDate,Tier,Size_Mult,n_up
0.9999500000000001,1.2499375000000001,1.037448125,1.1124443750000002,0.8899555000000001,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,Indices Oversold Bounce,^NDX,2003-01-17,Liquid,0.5714,1
0.9999500000000001,1.2499375000000001,1.4499275,1.6249187500000002,1.2999350000000003,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,SPY QQQ MonFri Reversion,QQQ,2003-01-17,Liquid,0.5714,2
1.0000000000000002,1.2500000000000002,1.0375,1.1125000000000003,0.8900000000000001,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,Indices Oversold Bounce,^GSPC,2003-01-21,Liquid,1.0,1
1.0000000000000002,1.2500000000000002,1.0375,1.1125000000000003,0.8900000000000001,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,Indices Oversold Bounce,^GSPC,2003-01-22,Liquid,1.0,1
0.9999500000000001,1.2499375000000001,1.037448125,1.1124443750000002,0.8899555000000001,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,Indices Oversold Bounce,^GSPC,2003-01-24,Liquid,0.5714,1
0.9999500000000001,1.2499375000000001,1.4499275,1.6249187500000002,1.2999350000000003,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,SPY QQQ MonFri Reversion,SPY,2003-01-24,Liquid,0.5714,2
1.0000000000000002,1.2500000000000002,1.0375,1.1125000000000003,0.8900000000000001,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,Indices Oversold Bounce,^GSPC,2003-01-30,Liquid,1.0,1
1.0000000000000002,1.2500000000000002,1.0375,1.1125000000000003,0.8900000000000001,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,Indices Oversold Bounce,^GSPC,2003-02-05,Liquid,1.0,1
1.0000000000000002,1.2500000000000002,1.0375,1.1125000000000003,0.8900000000000001,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,1.1125000000000003,Indices Oversold Bounce,^GSPC,2003-02-12,Liquid,1.0,1
1.0000000000000002,1.2500000000000002,1.4500000000000002,1.6250000000000002,1.3000000000000003,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,SPY QQQ MonFri Reversion,QQQ,2003-02-24,Liquid,1.0,2
1.0000000000000002,1.2500000000000002,1.4500000000000002,1.6250000000000002,1.3000000000000003,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,SPY QQQ MonFri Reversion,SPY,2003-02-24,Liquid,1.0,2
1.0000000000000002,1.2500000000000002,1.4500000000000002,1.6250000000000002,1.3000000000000003,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,1.6250000000000002,SPY QQQ MonFri Reversion,QQQ,2003-03-03,Liquid,1.0,2
0.9999500000000001,1.2499375000000001,1.4499275,1.6249187500000002,1.2999350000000003,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,1.6249187500000002,SPY QQQ MonFri Reversion,SPY,2003-03-10,Liquid,0.5714,2
0.9999500000000001,1.2499375000000001,1.037448125,1.1124443750000002,0.8899555000000001,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,1.1124443750000002,Indices Oversold Bounce,^GSPC,2003-03-10,Liquid,0.5714,1
